                                                    car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                                    
 AC-1200013-DDA92527A1914C39A69B4C4BF1FD3897;290.848;AC;Acrelândia;0.2908;IRU;AT;Aguardando análise
 AC-1200013-3AD0E1CBA65D49BBAD2672F25E2479AA;437.430;AC;Acrelândia;0.4374;IRU;AT;Aguardando análise
 AC-1200013-156F8FB37D62466D8122FA2F1AC2754F;431.228;AC;Acrelândia;0.4312;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 AC-1200013-6254F411E6E84B1AA9D51AB1978996B2;65.435;AC;Acrelândia;0.0654;IRU;AT;Aguardando analise
 AC-1200013-4E80AB81CB0E46028D854616BA8449F9;402.180;AC;Acrelândia;0.4022;IRU;AT;Em análise
 AC-1200013-42C16C3BC6E04842AA570EE695CF46A0;794.149;AC;Acrelândia;0.7941;IRU;AT;Analisado com pendências, aguardando apresentação de documentos
 AC-1200013-D0287331E85F475DB177A8606736F449;752.714;AC;Acrelândia;0.7527;IRU;AT;Em análise
 AC-1200013-CA98A18AF9C143BEB76BC311F5130976;478.523;AC;Acrelândia;0.4785;IRU;AT;Aguardando analise
 AC-1200013-3D279B73034D4AE8AE0F3C34C35B8ED6;758.439;AC;Acrelândia;0.7584;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-66FC192F13E141C88B7F1599EC5632AE;433.844;AC;Acrelândia;0.4338;IRU;AT;Em análise
 AC-1200013-1426EBC2889441B89252F917C0C62EF2;142.078;AC;Acrelândia;0.1421;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-BC8ED36E92DC48C4A028D936B492DDFC;703.519;AC;Acrelândia;0.7035;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-936AEB66709D45DCA97D9743AE6DB531;394.919;AC;Acrelândia;0.3949;IRU;AT;Em análise
 AC-1200013-9BC5391C401142699C13598B2119D5B8;62.243;AC;Acrelândia;0.0622;IRU;AT;Em análise
