                                                    car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                                    
 AC-1200013-1BC1D8FA53C54321A724A647B4CBAA54;390.910;AC;Acrelândia;0.3909;IRU;AT;Aguardando analise
 AC-1200013-0B5631465D7A436582AB47C2E4A30A8B;395.269;AC;Acrelândia;0.3953;IRU;AT;Aguardando analise
 AC-1200013-81241013D55E46318C091BC5D7DEE858;432.515;AC;Acrelândia;0.4325;IRU;AT;Aguardando analise
 AC-1200013-EA7726C8BD3248118922BCC271761B8E;398.252;AC;Acrelândia;0.3983;IRU;AT;Aguardando analise
 AC-1200013-28B370DF29434E50B10A821B3825704F;442.501;AC;Acrelândia;0.4425;IRU;AT;Aguardando analise
 AC-1200013-C96C5940444A4AEA9E853E7EA32ED26A;387.364;AC;Acrelândia;0.3874;IRU;AT;Aguardando analise
 AC-1200013-E111491E14764DADA7E5AF17B1FF6D72;456.866;AC;Acrelândia;0.4569;IRU;AT;Aguardando analise
 AC-1200013-73327D02F9094C14B6F470E6822C87D4;335.759;AC;Acrelândia;0.3358;IRU;AT;Aguardando analise
 AC-1200013-3F405324197748C4A550001D25060F5D;388.176;AC;Acrelândia;0.3882;IRU;AT;Aguardando analise
 AC-1200013-4A5FDE2CDBF54D799C85351FD11051CC;697.312;AC;Acrelândia;0.6973;IRU;AT;Em análise
 AC-1200013-FDAAE371680D4BDC8EE615EE82E9E5BF;387.354;AC;Acrelândia;0.3874;IRU;AT;Aguardando analise
 AC-1200013-C4F23076D8D14B18B746C738D1E817C8;442.964;AC;Acrelândia;0.443;IRU;AT;Aguardando analise
 AC-1200013-9B3B29A827E642B7B06C02A990AEEC6E;426.712;AC;Acrelândia;0.4267;IRU;AT;Aguardando analise
 AC-1200013-53BAD786109B4CA39DB00AAD2FF13CAD;426.939;AC;Acrelândia;0.4269;IRU;AT;Aguardando analise
 AC-1200013-D0F558CF2C714C6C8ED9D6D69FA3BF27;398.458;AC;Acrelândia;0.3985;IRU;AT;Aguardando analise
 AC-1200013-F287DF17F8A94146A453A97E6EE81B87;409.160;AC;Acrelândia;0.4092;IRU;AT;Aguardando analise
 AC-1200013-22E7521DBD8D49CB9759BE3FAB12FDFE;459.627;AC;Acrelândia;0.4596;IRU;AT;Aguardando analise
 AC-1200013-F035E0020409475A807E26ABFC4AF8AC;391.859;AC;Acrelândia;0.3919;IRU;AT;Aguardando analise
 AC-1200013-6A3F8583A4284D2EAC76ABE4E9F16B1F;416.556;AC;Acrelândia;0.4166;IRU;AT;Aguardando analise
 AC-1200013-8BA40C88FE93426993A0A92923243C3F;434.396;AC;Acrelândia;0.4344;IRU;AT;Aguardando analise
 AC-1200013-0404D97F0FE04EDB97C35BB19A7CF8AC;396.975;AC;Acrelândia;0.397;IRU;AT;Aguardando analise
 AC-1200013-14AA8BE63F814AA6A1A286EFDBC3B1EF;440.823;AC;Acrelândia;0.4408;IRU;AT;Aguardando analise
 AC-1200013-BFAF3EB2D602490D80A4A142D84EE332;417.070;AC;Acrelândia;0.4171;IRU;AT;Aguardando analise
 AC-1200013-4036E6EC845C48948D3ED1D294CF3D33;394.474;AC;Acrelândia;0.3945;IRU;AT;Aguardando analise
 AC-1200013-A9153C97347949EEB210631D674C8AB9;389.209;AC;Acrelândia;0.3892;IRU;AT;Aguardando analise
 AC-1200013-1F058030BBBC4AB9A66647B8C9691F78;455.611;AC;Acrelândia;0.4556;IRU;AT;Aguardando analise
 AC-1200013-F979317A7185481390B900040F87F579;393.322;AC;Acrelândia;0.3933;IRU;AT;Aguardando analise
 AC-1200013-2052EDD553124FBE966D7277CE7052F5;431.865;AC;Acrelândia;0.4319;IRU;AT;Aguardando analise
 AC-1200013-289F6171BB3A4BEB95035FBEA6CD6D52;412.947;AC;Acrelândia;0.4129;IRU;AT;Aguardando analise
 AC-1200013-E336A644157C4E8ABB005712CADCEBC0;406.140;AC;Acrelândia;0.4061;IRU;AT;Aguardando analise
 AC-1200013-E527679E07604C9AB5B0FB929121B352;458.915;AC;Acrelândia;0.4589;IRU;AT;Aguardando analise
 AC-1200013-15A6C03E0EFF4692838AB0B6B7A78186;141.529;AC;Acrelândia;0.1415;IRU;AT;Aguardando analise
 AC-1200013-BAEF14B8280C4585AF624DF508AB4C80;426.357;AC;Acrelândia;0.4264;IRU;AT;Aguardando analise
 AC-1200013-4843D2DB25D045FBAB5375B6ABD69645;395.497;AC;Acrelândia;0.3955;IRU;AT;Aguardando analise
 AC-1200013-BBC0BFF04DDF4E99ABA5E2A5F6AEF7D3;44.285;AC;Acrelândia;0.0443;IRU;AT;Aguardando analise
 AC-1200013-695E0DFAE2BE4CF681BD395C7D6AC070;415.873;AC;Acrelândia;0.4159;IRU;AT;Aguardando analise
 AC-1200013-F0B2FCCE0B804885848ED126E0294626;485.009;AC;Acrelândia;0.485;IRU;AT;Aguardando analise
 AC-1200013-62EAF4FC392140FCBC067B737EC402E8;35.464;AC;Acrelândia;0.0355;IRU;AT;Aguardando analise
 AC-1200013-A4E0747CEC7E4354B73B40D3D1C2E470;156.294;AC;Acrelândia;0.1563;IRU;AT;Aguardando analise
 AC-1200013-3CA4B267AF0A4E239A6F922B966387BE;386.633;AC;Acrelândia;0.3866;IRU;AT;Aguardando analise
 AC-1200013-1FD7D058BDF1466591EAD887EFA4AF5C;145.142;AC;Acrelândia;0.1451;IRU;AT;Aguardando analise
 AC-1200013-63E5015F9593498BB25F63C7066EED8E;98.363;AC;Acrelândia;0.0984;IRU;AT;Aguardando analise
 AC-1200013-F02FC8D9239140B282B39C74AF2BDADA;87.163;AC;Acrelândia;0.0872;IRU;AT;Aguardando analise
 AC-1200013-772732C16C544074A9E0EA225022ACC9;64.705;AC;Acrelândia;0.0647;IRU;AT;Aguardando analise
 AC-1200013-8DDC473C7FEF4AC99E3F825E8DC7ABA1;283.679;AC;Acrelândia;0.2837;IRU;AT;Aguardando analise
 AC-1200013-4748D959DDAF47398B5F6FF8760D58DD;52.953;AC;Acrelândia;0.053;IRU;AT;Aguardando analise
 AC-1200013-EB1908DD40C14D09B905BCAC78AAECE1;55.319;AC;Acrelândia;0.0553;IRU;AT;Aguardando analise
 AC-1200013-54C127158A28405ABCC30D43DF8A6BF6;215.721;AC;Acrelândia;0.2157;IRU;AT;Aguardando analise
 AC-1200013-B4D1CAFB13494F9CB88521ED0DBD2378;58.589;AC;Acrelândia;0.0586;IRU;AT;Aguardando analise
 AC-1200013-6EA7CEBA788049A0A1775B1DBEA52EAE;368.682;AC;Acrelândia;0.3687;IRU;AT;Aguardando analise
 AC-1200013-9D10BD41832F4B38AFFA72A0A731E786;475.114;AC;Acrelândia;0.4751;IRU;AT;Aguardando analise
 AC-1200013-F3989DD3859A434C8653C790E7EFF2FB;412.395;AC;Acrelândia;0.4124;IRU;AT;Aguardando analise
 AC-1200013-3B4952463DF14E2C9E8FE8E6C0FF1EA4;413.597;AC;Acrelândia;0.4136;IRU;AT;Aguardando analise
 AC-1200013-EDE26106F09C4B7599FE0191A9D46C82;13.287;AC;Acrelândia;0.0133;IRU;AT;Aguardando analise
 AC-1200013-A39550B8188E40688C2152CE0C41700E;42.619;AC;Acrelândia;0.0426;IRU;AT;Aguardando analise
 AC-1200013-98F77202D29A476D977593329FABC0F8;391.210;AC;Acrelândia;0.3912;IRU;AT;Aguardando analise
 AC-1200013-CF2748637B434674BEE8492DCA48DB34;140.444;AC;Acrelândia;0.1404;IRU;AT;Aguardando analise
 AC-1200013-BAAF25BB295D42B59B5A2051BB2F3075;371.639;AC;Acrelândia;0.3716;IRU;AT;Aguardando analise
 AC-1200013-C745F264E1374F0EA768D35F8CFF59A8;71.164;AC;Acrelândia;0.0712;IRU;AT;Aguardando analise
 AC-1200013-8804F511FD5B4C49A8BA7DF4BFF69075;387.926;AC;Acrelândia;0.3879;IRU;AT;Aguardando analise
 AC-1200013-DA6138840D3A42A691D41D42D8B0999E;424.865;AC;Acrelândia;0.4249;IRU;AT;Aguardando analise
 AC-1200013-105E74E413604F35A0D2B9A03B78E00C;401.961;AC;Acrelândia;0.402;IRU;AT;Aguardando analise
 AC-1200013-099855FAF82F4CC39054F377F9E09E6E;482.651;AC;Acrelândia;0.4827;IRU;AT;Aguardando analise
 AC-1200013-EC9D5289E22A4102A4350019876F2CB2;195.457;AC;Acrelândia;0.1955;IRU;AT;Aguardando analise
 AC-1200013-6E082C0EA99640E7AA5C9D4E3E43DE2C;361.746;AC;Acrelândia;0.3617;IRU;AT;Aguardando analise
 AC-1200013-055F70248BC645518AC95D5FE2A1500C;35.478;AC;Acrelândia;0.0355;IRU;AT;Aguardando analise
 AC-1200013-DA3E9C58F644460D9D0D058857E83201;119.710;AC;Acrelândia;0.1197;IRU;AT;Aguardando analise
 AC-1200013-1DD93F474C1E4B66A904407344BD104D;146.517;AC;Acrelândia;0.1465;IRU;AT;Aguardando analise
 AC-1200013-2DBD238E4E8F4B8EAE9FE57F27426048;65.248;AC;Acrelândia;0.0652;IRU;AT;Aguardando analise
 AC-1200013-804979AB4E6A41E7840F5F08603DF150;376.498;AC;Acrelândia;0.3765;IRU;AT;Aguardando analise
 AC-1200013-026986F7AFB84617B19F5F4292F7BA45;118.402;AC;Acrelândia;0.1184;IRU;AT;Aguardando analise
 AC-1200013-6A60B6E05F624D868B4BB08EDD3D2D2E;28.137;AC;Acrelândia;0.0281;IRU;AT;Aguardando analise
 AC-1200013-F5BA516E8435445384FE7255D0B84079;79.859;AC;Acrelândia;0.0799;IRU;AT;Aguardando analise
 AC-1200013-2750729605744284BA3A6F247569CC8D;400.711;AC;Acrelândia;0.4007;IRU;AT;Aguardando analise
 AC-1200013-9BF75C1A408F47B785A38C434BA93AE6;64.785;AC;Acrelândia;0.0648;IRU;AT;Aguardando analise
 AC-1200013-9E8850314F2647E3960404942ECBB7A1;273.714;AC;Acrelândia;0.2737;IRU;AT;Aguardando analise
 AC-1200013-B402268FFE804053AFB506C1D692D528;36.085;AC;Acrelândia;0.0361;IRU;AT;Aguardando analise
 AC-1200013-9D317344EAC242048E0A5D21EE6C0CEC;125.197;AC;Acrelândia;0.1252;IRU;AT;Aguardando analise
 AC-1200013-B3007FEB95EC49DAB762FF0054018CA4;363.194;AC;Acrelândia;0.3632;IRU;AT;Aguardando analise
 AC-1200013-1B6557A55A6D4F829372D5EF7CA04EB7;70.944;AC;Acrelândia;0.0709;IRU;AT;Aguardando analise
 AC-1200013-6DBD47DC14E84FB2AE56ED2AD7EE0C9C;712.577;AC;Acrelândia;0.7126;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-3967EF959A50469080906DC66EC0BA29;54.500;AC;Acrelândia;0.0545;IRU;AT;Aguardando analise
 AC-1200013-4FF54A58CC6E49E6832AC76F9CAB2E9E;343.378;AC;Acrelândia;0.3434;IRU;AT;Aguardando analise
 AC-1200013-9257C5435F78467EAFF8810F48D48CC6;301.905;AC;Acrelândia;0.3019;IRU;AT;Aguardando analise
 AC-1200013-3522C90427904759BD36B3B66CD01B80;420.495;AC;Acrelândia;0.4205;IRU;AT;Aguardando analise
 AC-1200013-6BC5AC27B46345808DFA9BAAC36F5B37;50.822;AC;Acrelândia;0.0508;IRU;AT;Aguardando analise
 AC-1200013-41C6BF9986084CEF861D19C28F840A40;348.717;AC;Acrelândia;0.3487;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-304F1435D1FD477187E7878911E45058;57.191;AC;Acrelândia;0.0572;IRU;AT;Aguardando analise
 AC-1200013-CDC0C12F963C41328006DF1C49E1F4F3;130.882;AC;Acrelândia;0.1309;IRU;AT;Aguardando analise
 AC-1200013-CB499B33EFAA4DD9822002C79FE1A98E;997.397;AC;Acrelândia;0.9974;IRU;AT;Aguardando análise
 AC-1200013-A9C8FFCEACA84C7DA4DC1EFCAC467B42;140.039;AC;Acrelândia;0.14;IRU;AT;Aguardando analise
 AC-1200013-85078EE3A748440AA353AB51AAAEBD7C;85.163;AC;Acrelândia;0.0852;IRU;AT;Aguardando analise
 AC-1200013-29928007B68E4490930A1097D59A3F9E;78.511;AC;Acrelândia;0.0785;IRU;AT;Aguardando analise
 AC-1200013-953C718A84D14C49B7945F95535E2151;43.075;AC;Acrelândia;0.0431;IRU;AT;Aguardando analise
 AC-1200013-5D2D0FF203EA46F9AC8696ABEB64A38F;363.598;AC;Acrelândia;0.3636;IRU;AT;Aguardando analise
 AC-1200013-FED6F85F6DCD452A9B871393EF8A72FB;762.993;AC;Acrelândia;0.763;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-206C72B122014A07A8375E7D7951070C;256.091;AC;Acrelândia;0.2561;IRU;AT;Aguardando analise
 AC-1200013-941C2D7F23764BF2BB6F21DAC12A4720;386.117;AC;Acrelândia;0.3861;IRU;AT;Aguardando analise
 AC-1200013-70D4EFFD1E054D54B5C3CE64AE14C7F4;409.599;AC;Acrelândia;0.4096;IRU;AT;Aguardando analise
 AC-1200013-A236DADB96C048518DC76B2C8C3FEF9E;360.172;AC;Acrelândia;0.3602;IRU;AT;Aguardando analise
 AC-1200013-6EC220E2EA444388BC58310BAD926AAA;73.205;AC;Acrelândia;0.0732;IRU;AT;Aguardando analise
 AC-1200013-E8D95CEC5BDE4E0E8CB266A835C30C06;120.951;AC;Acrelândia;0.121;IRU;AT;Aguardando analise
 AC-1200013-34362F00A5FF4985BE4B30605D496606;51.354;AC;Acrelândia;0.0514;IRU;AT;Aguardando analise
 AC-1200013-8D252A0F038C44E39C4521E8433D12D7;405.675;AC;Acrelândia;0.4057;IRU;AT;Aguardando analise
 AC-1200013-9B596A1186EF451C9F81D88E31188297;45.268;AC;Acrelândia;0.0453;IRU;AT;Aguardando analise
 AC-1200013-AC26C9D0EF20467FAA0C83C51B7E2558;546.159;AC;Acrelândia;0.5462;IRU;AT;Aguardando analise
 AC-1200013-981B172A4D1240DBBC559B654CFEB69C;93.788;AC;Acrelândia;0.0938;IRU;AT;Aguardando analise
 AC-1200013-C71B3CA81B624FA9AEB4C34B13630542;60.386;AC;Acrelândia;0.0604;IRU;AT;Aguardando analise
 AC-1200013-D93D914939BC49559EB520D49A388D58;26.669;AC;Acrelândia;0.0267;IRU;AT;Aguardando analise
 AC-1200013-DCAA6C4D92F34FAB9E07434676187085;364.024;AC;Acrelândia;0.364;IRU;AT;Aguardando analise
 AC-1200013-E48E8A5DC3BA4632B94DDC2FF8C20E4F;99.761;AC;Acrelândia;0.0998;IRU;AT;Aguardando analise
 AC-1200013-6F2C395958D044518165ADFE5F2DC07C;333.839;AC;Acrelândia;0.3338;IRU;AT;Aguardando analise
 AC-1200013-4045053373464F10B79393719C70CF3A;88.314;AC;Acrelândia;0.0883;IRU;AT;Aguardando analise
 AC-1200013-21E4F189FB9A4D09A7C728DF829269CA;362.828;AC;Acrelândia;0.3628;IRU;AT;Aguardando analise
 AC-1200013-CDBB863CD83D40C1B8F51ADE6B775A74;23.649;AC;Acrelândia;0.0236;IRU;AT;Aguardando analise
 AC-1200013-E94E7805452240E3A2A3D29633FB3875;58.850;AC;Acrelândia;0.0589;IRU;AT;Aguardando analise
 AC-1200013-3DB2832A25184BCA9D583ABC9238B17F;111.343;AC;Acrelândia;0.1113;IRU;AT;Aguardando analise
 AC-1200013-DBCE21E375E949FD833056AD73B1ACFC;34.559;AC;Acrelândia;0.0346;IRU;AT;Aguardando analise
 AC-1200013-FCFCEC83D86E49D1A7C0F34A97A32303;957.019;AC;Acrelândia;0.957;IRU;AT;Aguardando analise
 AC-1200013-15A5230F53EF45A2A88675CADDD40E04;418.078;AC;Acrelândia;0.4181;IRU;AT;Aguardando analise
 AC-1200013-E31B5F4B6DB0401CAA04966FE4CCCFD1;79.553;AC;Acrelândia;0.0796;IRU;AT;Aguardando analise
 AC-1200013-05E7D30773AC4D22AA640EAF854594F4;452.907;AC;Acrelândia;0.4529;IRU;AT;Aguardando analise
 AC-1200013-D27D3D329EC4440CBEF859E9B77FEA34;413.588;AC;Acrelândia;0.4136;IRU;AT;Aguardando analise
 AC-1200013-F0D363270C594385962D4DBEEBEC8969;376.982;AC;Acrelândia;0.377;IRU;AT;Aguardando analise
 AC-1200013-057BA6F2BAE74F588BD3C3E82606C58D;33.514;AC;Acrelândia;0.0335;IRU;AT;Aguardando analise
 AC-1200013-E05CB9CB09AA491787B24EB373B74715;18.163;AC;Acrelândia;0.0182;IRU;AT;Aguardando analise
 AC-1200013-F2AEC8F553734AF0A910FBC590C49F69;20.113;AC;Acrelândia;0.0201;IRU;AT;Aguardando analise
 AC-1200013-87520A995F4E4818ACCF8AAFBFBD1F79;139.486;AC;Acrelândia;0.1395;IRU;AT;Aguardando analise
 AC-1200013-7229D4BBCB654698807798777C2AD780;395.797;AC;Acrelândia;0.3958;IRU;AT;Aguardando analise
 AC-1200013-F245BFE759E04BE28E4F2DBA7A13B07B;365.554;AC;Acrelândia;0.3656;IRU;AT;Aguardando analise
 AC-1200013-4275D2E7F40F4D088A2B5BFCEACC5F0C;537.135;AC;Acrelândia;0.5371;IRU;AT;Aguardando analise
 AC-1200013-1562E0F6B59242B58907177EA4B71F1C;133.217;AC;Acrelândia;0.1332;IRU;AT;Aguardando analise
 AC-1200013-8FC2939B8FD8434EB5E0A67965970624;698.435;AC;Acrelândia;0.6984;IRU;AT;Aguardando análise
 AC-1200013-0269D55B350A4BB0B37F146B307D8B49;378.055;AC;Acrelândia;0.3781;IRU;AT;Aguardando analise
 AC-1200013-3B992328B1EC4345B9C52FE83674EBC0;389.358;AC;Acrelândia;0.3894;IRU;AT;Aguardando analise
 AC-1200013-AA0F1572D8C6403AAAAB20D113BCC296;352.453;AC;Acrelândia;0.3525;IRU;AT;Aguardando analise
 AC-1200013-73FC7EDDC73D4C07AF498235696E90D1;316.132;AC;Acrelândia;0.3161;IRU;AT;Aguardando analise
 AC-1200013-3AA0A592369842108A28847D820AF4C1;468.734;AC;Acrelândia;0.4687;IRU;AT;Aguardando analise
 AC-1200013-D76B3F96D2574972B10B28B6961F7FBF;375.551;AC;Acrelândia;0.3756;IRU;AT;Aguardando analise
 AC-1200013-3E8F37E72C1049DAB860B0E503EE59EF;60.481;AC;Acrelândia;0.0605;IRU;AT;Aguardando analise
 AC-1200013-36D1069D141745DF8DED8339E2388A7E;401.658;AC;Acrelândia;0.4017;IRU;AT;Aguardando analise
 AC-1200013-8750BFB777504185A6BD80E43446C9AC;385.839;AC;Acrelândia;0.3858;IRU;AT;Aguardando analise
 AC-1200013-A30A9F5C41694A5EAE50657D4FF66779;342.348;AC;Acrelândia;0.3423;IRU;AT;Aguardando analise
 AC-1200013-5B0993D1ECCD46F1BBFE04A433CA798C;417.922;AC;Acrelândia;0.4179;IRU;AT;Aguardando analise
 AC-1200013-9AD6B487A3354DA4889283D83B9E0050;374.253;AC;Acrelândia;0.3743;IRU;AT;Aguardando analise
 AC-1200013-4ECD229CFD61470C8E086E7A8AC16835;479.562;AC;Acrelândia;0.4796;IRU;AT;Aguardando analise
 AC-1200013-5CD100FD12BB476482E56852503B7228;393.189;AC;Acrelândia;0.3932;IRU;AT;Aguardando analise
 AC-1200013-54909CB14BF34674BB79693E0A28E747;496.231;AC;Acrelândia;0.4962;IRU;PE;Analisado com pendências, aguardando retificação
 AC-1200013-CE3FC43DFE8344288D7AE6AD76083D4C;692.305;AC;Acrelândia;0.6923;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-F4469B9B9F16407190093F59A1C7DF1B;701.516;AC;Acrelândia;0.7015;IRU;AT;Analisado com pendências, aguardando apresentação de documentos
 AC-1200013-4F32B1CFCB2A459AB5A3E9836924B477;191.143;AC;Acrelândia;0.1911;IRU;AT;Aguardando analise
 AC-1200013-E367641951A1482C81395D2421FB6C4A;451.891;AC;Acrelândia;0.4519;IRU;AT;Aguardando analise
 AC-1200013-2A401B9282364B2BB3AB7D315FCA5EAB;402.878;AC;Acrelândia;0.4029;IRU;AT;Aguardando analise
 AC-1200013-212A713E6AE445689CB428FC2596A711;486.811;AC;Acrelândia;0.4868;IRU;AT;Aguardando analise
 AC-1200013-0DB3A5C88AD04509BD8D20518410F5B8;207.665;AC;Acrelândia;0.2077;IRU;AT;Aguardando analise
 AC-1200013-E9FBF59984FE4481961D3648C4640AD7;424.468;AC;Acrelândia;0.4245;IRU;AT;Aguardando analise
 AC-1200013-5F1012CB4FA740D488F5D0C67AC179A3;380.085;AC;Acrelândia;0.3801;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 AC-1200013-EEB3B76E9BB24C1A87847710C383D7F7;419.326;AC;Acrelândia;0.4193;IRU;AT;Aguardando analise
 AC-1200013-F891EABED61A4B9B9B478C50E14FB6BC;400.131;AC;Acrelândia;0.4001;IRU;AT;Aguardando analise
 AC-1200013-589C872F1B224C378180921D94B5C906;378.431;AC;Acrelândia;0.3784;IRU;AT;Aguardando analise
 AC-1200013-AB11308CBA0E4ABF90AE57BC71D27FE9;381.876;AC;Acrelândia;0.3819;IRU;AT;Aguardando analise
 AC-1200013-71EB93FF97A8438EA3585CE76BFF8D96;1.032.063;AC;Acrelândia;10.321;IRU;AT;Em análise
 AC-1200013-D56E847B1E674A038E53F2CEC2E07EE9;506.361;AC;Acrelândia;0.5064;IRU;AT;Aguardando análise
 AC-1200013-A8D58E82B8CB467BA1AD9D662E46D135;509.802;AC;Acrelândia;0.5098;IRU;AT;Aguardando análise
 AC-1200013-94878183FEF04FB382C4C8B0BEA32648;797.328;AC;Acrelândia;0.7973;IRU;AT;Em análise
 AC-1200013-08499D84C1304E2FB232675F0B0680D4;1.998.198;AC;Acrelândia;20.022;IRU;AT;Em análise
 AC-1200013-5BEAC10D4C014BCDA97D0D613AEBE3D7;434.898;AC;Acrelândia;0.4349;IRU;PE;Analisado com pendências, aguardando retificação
 AC-1200013-127CD2BE115943C590BD5F242A42D82F;1.081.229;AC;Acrelândia;10.812;IRU;AT;Aguardando análise
 AC-1200013-586932F55FF643A996C7BB3E8A6EA189;418.059;AC;Acrelândia;0.4181;IRU;AT;Aguardando análise
 AC-1200013-244C150E9DC84BBC842D377657A33211;380.316;AC;Acrelândia;0.3803;IRU;AT;Em análise
 AC-1200013-39B606962F154C4693890DEB67DD378F;795.200;AC;Acrelândia;0.7952;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-742242CAF61E45629831E05E9D803D89;492.127;AC;Acrelândia;0.4921;IRU;AT;Aguardando análise
 AC-1200013-DEC6DA9B28B54C43BD6D17D960E51F30;965.048;AC;Acrelândia;0.965;IRU;AT;Analisado com pendências, aguardando apresentação de documentos
 AC-1200013-4F904DB37B32464486153FDEC1495E9A;502.036;AC;Acrelândia;0.502;IRU;AT;Em análise
 AC-1200013-682369B42BAF460C9A9040D6F0780314;829.050;AC;Acrelândia;0.829;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-387E7B5A0E3C4021989FEFEA57A3C89F;401.699;AC;Acrelândia;0.4017;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-BD677AFE99764EB0A6926C176E9AAD51;88.515;AC;Acrelândia;0.0885;IRU;AT;Analisado com pendências, aguardando apresentação de documentos
 AC-1200013-C4DEF7F4B58E40B88766BE8975EB5C56;395.820;AC;Acrelândia;0.3958;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-00DEFA6E0F6846768F9384C4B79C3ED4;271.571;AC;Acrelândia;0.2716;IRU;AT;Aguardando análise
 AC-1200013-ECA8AC9DCFCF47E3942E4C713C87FECF;561.731;AC;Acrelândia;0.5617;IRU;AT;Em análise
 AC-1200013-1B8462C3FDF7429AA85590ED20BBA737;734.344;AC;Acrelândia;0.7343;IRU;AT;Em análise
 AC-1200013-CAD9923A5CFB4FBB802E1A2369123E11;536.797;AC;Acrelândia;0.5368;IRU;AT;Aguardando análise
 AC-1200013-B18EF77475CA4728944430560CC2E3A3;533.572;AC;Acrelândia;0.5336;IRU;AT;Aguardando análise
 AC-1200013-F66673AE5A824992B52E9B7BD941F4EA;676.227;AC;Acrelândia;0.6762;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-D54820C98EF64AC488FC846208175D40;703.675;AC;Acrelândia;0.7037;IRU;AT;Aguardando analise
 AC-1200013-1B6DC83959B9472DAFB50AFF5A37DD43;431.353;AC;Acrelândia;0.4314;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-F20DEA824EBF454280FF19D8C0BE9D3E;474.569;AC;Acrelândia;0.4746;IRU;AT;Em análise
 AC-1200013-4F45D9AFEA8D41EF82B885C0DADED276;743.542;AC;Acrelândia;0.7435;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-E3DE79E9346F4915BBCF6248080F7294;287.369;AC;Acrelândia;0.2874;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-A20AF5D384464A27B3E327E6DAEA9C4F;696.777;AC;Acrelândia;0.6968;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-F7EE1C01F5D14002AF54713CFA96522A;966.724;AC;Acrelândia;0.9667;IRU;AT;Aguardando analise
 AC-1200013-A1775A1220C04A17A93EA529E5F03111;711.137;AC;Acrelândia;0.7111;IRU;AT;Aguardando análise
 AC-1200013-47340A0E7BFD43D999869111D3C47A6B;413.583;AC;Acrelândia;0.4136;IRU;AT;Aguardando análise
 AC-1200013-D1776818C0144C5D927707697EFDC433;810.869;AC;Acrelândia;0.8109;IRU;AT;Aguardando análise
 AC-1200013-D9773D1C054347E09C740D5EACA62DB1;805.014;AC;Acrelândia;0.805;IRU;PE;Aguardando analise
 AC-1200013-030ECC6ACC6B47A4B46DC0758E877F5F;753.016;AC;Acrelândia;0.753;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-19C46C9CF16A409D9817E84A2753B69F;272.170;AC;Acrelândia;0.2722;IRU;AT;Aguardando analise
 AC-1200013-DCE2249C110B4E41975F955CD534ABE2;998.919;AC;Acrelândia;0.9989;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-9D2F933766F0428696DD6324FB538933;692.360;AC;Acrelândia;0.6924;IRU;AT;Em análise
 AC-1200013-28CD1CED1B80403FBB57F37827C8C70C;783.400;AC;Acrelândia;0.7834;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-58C30175D5D943AF98C4964F4F6A69FF;521.562;AC;Acrelândia;0.5216;IRU;AT;Em análise
 AC-1200013-8C1FCB44FDC047C68C5E9F7B3C2FA0F1;478.840;AC;Acrelândia;0.4788;IRU;AT;Em análise
 AC-1200013-DAA0BB1E9B47494CA86C98A8F9DF90C4;502.712;AC;Acrelândia;0.5027;IRU;AT;Aguardando analise
 AC-1200013-9CFE6D6D8A1546F789E219DB9B9B839F;479.658;AC;Acrelândia;0.4797;IRU;AT;Em análise
 AC-1200013-43137D20BFC4423DA5B0319D225F2B96;585.448;AC;Acrelândia;0.5854;IRU;AT;Aguardando análise
 AC-1200013-852651B914D246D09A4C7C2216B1D118;680.421;AC;Acrelândia;0.6804;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-5E7D097CEC7748DFB50DB9C8E158ADD2;283.100;AC;Acrelândia;0.2831;IRU;AT;Em análise
 AC-1200013-DC441F9A266C45DAB7685E5FFADC5C2D;728.861;AC;Acrelândia;0.7289;IRU;AT;Analisado com pendências, aguardando apresentação de documentos
