"","c.ac2.d.","c.ac2.nrow.","porc","porc2","porc0"
"173","aspimfm",1,0.000356618119053393,0,0
"174","aspipmg",2,0.000713236238106786,0,0
"175","asqusg",92,0.0328088669529121,0.03,0
"176","qpig",3,0.00106985435716018,0,0
"177","asquspg",1,0.000356618119053393,0,0
"178","qpi",134,0.0477868279531546,0.05,0
"179","aspimg",1,0.000356618119053393,0,0
"180","asmg",21,0.00748898050012125,0.01,0
"181","qsdpg",3,0.00106985435716018,0,0
"182","qsdpm",1,0.000356618119053393,0,0
"183","thasusmfpg",1,0.000356618119053393,0,0
"184","usmfpmg",13,0.00463603554769411,0,0
"185","uaspg",7,0.00249632683337375,0,0
"186","uasmfpg",1,0.000356618119053393,0,0
"187","thasusp",32,0.0114117798097086,0.01,0
"188","thasuspm",7,0.00249632683337375,0,0
"189","thasus",1,0.000356618119053393,0,0
"190","thasusmfp",1,0.000356618119053393,0,0
"191","uasusmf",46,0.0164044334764561,0.02,0
"192","uasusg",122,0.0435074105245139,0.04,0
"193","uasusmfg",532,0.189720839336405,0.19,0
"194","qsdmfg",6,0.00213970871432036,0,0
"195","qsdmfpg",1,0.000356618119053393,0,0
"196","uusg",3,0.00106985435716018,0,0
"197","qmg",1,0.000356618119053393,0,0
"198","uqmfg",2,0.000713236238106786,0,0
"199","usdp",1,0.000356618119053393,0,0
"200","usdmfp",1,0.000356618119053393,0,0
"201","uas",5,0.00178309059526696,0,0
"202","tnhusg",33,0.011768397928762,0.01,0
"203","thmf",2,0.000713236238106786,0,0
"204","tnhasusp",1,0.000356618119053393,0,0
"205","tnhasusmf",19,0.00677574426201447,0.01,0
"206","tiusg",8,0.00285294495242714,0,0
"207","tiasusg",1,0.000356618119053393,0,0
"208","tiusmg",1,0.000356618119053393,0,0
"209","tnhusmf",1,0.000356618119053393,0,0
"210","tnhusp",3,0.00106985435716018,0,0
"211","thtnhus",5,0.00178309059526696,0,0
