"","Sigla","name","State","region","bioma","y","x","source_of_","coords.x1","coords.x2","encoding"
"2732","PR-QN-1","Rio Ivai","PR","Southern","Atlantic_Forest","-23.5","-52.5","literature",-52.5,-23.5,"UTF-8"
"2733","PR-FL-05","Rancho Leoncio 2","PR","Southern","Atlantic_Forest","-23.5","-52.500005","literature",-52.500005,-23.5,"UTF-8"
"2734","PR-FL-05","Rancho Leoncio 2","PR","Southern","Atlantic_Forest","-23.5","-52.500005","literature",-52.500005,-23.5,"UTF-8"
"2735","PR-ST-1","Geraldo","PR","Southern","Atlantic_Forest","-23.5","-52.500001","literature",-52.500001,-23.5,"UTF-8"
"2736","PR-ST-1","Geraldo","PR","Southern","Atlantic_Forest","-23.5","-52.500001","literature",-52.500001,-23.5,"UTF-8"
"2737","PR-QN-2","Porto de Areia 2","PR","Southern","Atlantic_Forest","-23.5","-52.500002","literature",-52.500002,-23.5,"UTF-8"
"2738","PR-FL-13","Rio Condor 3","PR","Southern","Atlantic_Forest","-23.5","-52.500003","literature",-52.500003,-23.5,"UTF-8"
"2739","PR-FL-15","Rio Condor 5","PR","Southern","Atlantic_Forest","-23.5","-52.500004","literature",-52.500004,-23.5,"UTF-8"
"2740",na,"Sambaqui Rio Preto","SP","Southeastern","Atlantic_Forest","-24.135833","-46.9","literature",-46.9,-24.135833,"UTF-8"
"2741","RJ-17","RJ-17","RJ","Southeastern","Atlantic_Forest","-22.733333","-42.025","literature",-42.025,-22.733333,"UTF-8"
"2742","RJ-19","RJ-19","RJ","Southeastern","Atlantic_Forest","-22.833333","-42.125","literature",-42.125,-22.833333,"UTF-8"
"2743","RO-PV-48","RO-PV-48","RO",na,na,"-8.956944","-63.246111","literature",-63.246111,-8.956944,"UTF-8"
"2744","RS-217","Schmitz","RS","Southern","Atlantic_Forest","-29.568056","-51.404167","literature",-51.404167,-29.568056,"UTF-8"
"2745","RS-C-14","Bom Jardim Velho","RS","Southern","Atlantic_Forest","-29.526978","-51.744271","literature",-51.744271,-29.526978,"UTF-8"
"2746","RS-C-14","Bom Jardim Velho","RS","Southern","Atlantic_Forest","-29.526978","-51.744271","literature",-51.744271,-29.526978,"UTF-8"
"2747","RO-JI-29","Bom Jardim","RO","Northeastern",na,"-10.7979","-61.7638","literature",-61.7638,-10.7979,"UTF-8"
