"","Sigla","name","State","region","bioma","y","x","source_of_","coords.x1","coords.x2","encoding"
"2581","PA-AT-209","Pau Preto","PA","Northern","Amazon_Forest","-5.7893","-50.5203","literature",-50.5203,-5.7893,"UTF-8"
"2582",na,"Sambaqui Pavao II","SP","Southern","Atlantic_Forest","-24.794727","-48.111337","literature",-48.111337,-24.794727,"UTF-8"
"2583",na,"Sambaqui Pavao III","SP","Southern","Atlantic_Forest","-24.64767386","-48.80275742","literature",-48.80275742,-24.64767386,"UTF-8"
"2584",na,"Sambaqui Pavao XVI","SP","Southern","Atlantic_Forest","-24.647658","-48.801239","estimated",-48.801239,-24.647658,"UTF-8"
"2585",na,"PE 91-Mxa","PE","Northeastern",na,"-8.612056000000001","-37.167107",na,-37.167107,-8.612056,"UTF-8"
"2586",na,"PE 91-Mxa","PE","Northeastern",na,"-8.612056000000001","-37.167107",na,-37.167107,-8.612056,"UTF-8"
"2587",na,"PE 91-Mxa","PE","Northeastern",na,"-8.612056000000001","-37.167107",na,-37.167107,-8.612056,"UTF-8"
"2588",na,"PE 91-Mxa","PE","Northeastern",na,"-8.612056000000001","-37.167107",na,-37.167107,-8.612056,"UTF-8"
"2589",na,"PE 91-Mxa","PE","Northeastern",na,"-8.612056000000001","-37.167107",na,-37.167107,-8.612056,"UTF-8"
"2590",na,"PE 94-Cm","PE","Northeastern",na,"-8.0387","-34.997264",na,-34.997264,-8.0387,"UTF-8"
"2591",na,"PE-16","PE","Northeastern",na,"-7.791567","-35.557919",na,-35.557919,-7.791567,"UTF-8"
"2592",na,"PE-16","PE","Northeastern",na,"-7.791567","-35.557919",na,-35.557919,-7.791567,"UTF-8"
"2593",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2594",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2595",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2596",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2597",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2598",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2599",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2600",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2601",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2602",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2603",na,"Pedra do Alexandre","RN","Northeastern",na,"-6.545278","-36.519444","literature",-36.519444,-6.545278,"UTF-8"
"2604",na,"Pedra do Caboclo","PE",na,na,"-7.733333","-35.616667","literature",-35.616667,-7.733333,"UTF-8"
"2605",na,"Pedra do Caboclo","PE",na,na,"-7.733333","-35.616667","literature",-35.616667,-7.733333,"UTF-8"
"2606","RS-SM-7","Pedra Grande 8","RS","Southern","Atlantic_Forest","-29.652223","-54.112058","literature",-54.112058,-29.652223,"UTF-8"
"2607","RS-SM-7","Pedra Grande 4","RS",na,na,"-29.652223","-54.112058","literature",-54.112058,-29.652223,"UTF-8"
"2608","RS-SM-7","Pedra Grande 7","RS",na,na,"-29.652223","-54.112058","literature",-54.112058,-29.652223,"UTF-8"
"2609",na,"Sambaqui Pedra Oca","BA","Northeastern",na,"-12.864688","-38.477019","estimated",-38.477019,-12.864688,"UTF-8"
"2610",na,"Sambaqui Pedra Oca","BA","Northeastern",na,"-12.864688","-38.477019","estimated",-38.477019,-12.864688,"UTF-8"
"2611",na,"Sambaqui Pedra Oca","BA","Northeastern",na,"-12.864688","-38.477019","estimated",-38.477019,-12.864688,"UTF-8"
"2612","PA-AT-294","Reginaldo","PA","Northern","Amazon_Forest","-5.764","-50.511","literature",-50.511,-5.764,"UTF-8"
"2613","PA-AT-294","Reginaldo","PA","Northern","Amazon_Forest","-5.764","-50.511","literature",-50.511,-5.764,"UTF-8"
"2614","PA-AT-294","Reginaldo","PA","Northern","Amazon_Forest","-5.764","-50.511","literature",-50.511,-5.764,"UTF-8"
"2615","PA-AT-296","Perdido do Mirim","PA","Northern","Amazon_Forest","-5.77","-50.518","literature",-50.518,-5.77,"UTF-8"
"2616",na,"Sambaqui Pereirinha","SP","Southeastern","Atlantic_Forest","-25.083333","-48.016667","literature",-48.016667,-25.083333,"UTF-8"
"2617",na,"Pereirinha III","SP","Southeastern","Atlantic_Forest","-25.062757","-47.9241624","literature",-47.9241624,-25.062757,"UTF-8"
"2618",na,"Pereirinha III","SP","Southeastern","Atlantic_Forest","-25.062757","-47.9241624","literature",-47.9241624,-25.062757,"UTF-8"
"2619",na,"Pereirinha IV","SP","Southeastern","Atlantic_Forest","-25.060021","-47.92568243","literature",-47.92568243,-25.060021,"UTF-8"
"2620",na,"Pereirinha IV","SP","Southeastern","Atlantic_Forest","-25.060021","-47.92568243","literature",-47.92568243,-25.060021,"UTF-8"
"2621",na,"Pereirinha IV","SP","Southeastern","Atlantic_Forest","-25.060021","-47.92568243","literature",-47.92568243,-25.060021,"UTF-8"
"2622",na,"Peri-Peri","PE","Northeastern",na,"-8.549996999999999","-36.865551","literature",-36.865551,-8.549997,"UTF-8"
"2623",na,"Peri-Peri","PE","Northeastern",na,"-8.549996999999999","-36.865551","literature",-36.865551,-8.549997,"UTF-8"
"2624",na,"Piacaguera","SP","Southeastern","Coastal/marine","-25.470429","-48.480307","literature",-48.480307,-25.470429,"UTF-8"
"2625",na,"Piacaguera I","SP","Southeastern","Coastal/marine","-23.863333","-46.368333","literature",-46.368333,-23.863333,"UTF-8"
"2626",na,"Sambaqui Pindu (S-38)","SP","Southeastern","Coastal/marine","-24.65","-47.483333","literature",-47.483333,-24.65,"UTF-8"
"2627","SC-VP-35","Pinheiro Preto II","SC","Southern","Atlantic_Forest","-27.266667","-52.175","literature",-52.175,-27.266667,"UTF-8"
"2628",na,"Piraju, Sao Paulo","PR","Southern","Atlantic_Forest","-23.55","-49.65","literature",-49.65,-23.55,"UTF-8"
"2629",na,"Ponta da Cabeca",na,na,na,"-22.964007","-42.03109444","literature",-42.03109444,-22.964007,"UTF-8"
"2630",na,"Ponta da Cabeca",na,na,na,"-22.964007","-42.03109444","literature",-42.03109444,-22.964007,"UTF-8"
"2631",na,"Sambaqui Ponta das Almas","SC","Southern","Coastal/marine","-27.59526699","-48.4593447","field",-48.4593447,-27.59526699,"UTF-8"
"2632",na,"Sambaqui Ponta das Almas","SC","Southern","Coastal/marine","-27.59526699","-48.4593447","field",-48.4593447,-27.59526699,"UTF-8"
"2633",na,"Sambaqui Ponta das Almas","SC","Southern","Coastal/marine","-27.59526699","-48.4593447","field",-48.4593447,-27.59526699,"UTF-8"
"2634",na,"Sambaqui Ponta das Almas","SC","Southern","Coastal/marine","-27.59526699","-48.4593447","field",-48.4593447,-27.59526699,"UTF-8"
"2635","PA-SA-06","Ponta de Pedras","PA","Northern","Amazon_Forest","-7.81258","-47.136285","literature",-47.136285,-0.781258,"UTF-8"
"2636",na,"Ponta de Pedras","PA","Northern","Amazon_Forest","-1.350931","-48.828978","literature",-48.828978,-1.350931,"UTF-8"
"2637",na,"Ponta de Pedras","PA","Northern","Amazon_Forest","-1.350931","-48.828978","literature",-48.828978,-1.350931,"UTF-8"
"2638",na,"Ponta do Leste","RJ","Southeastern","Coastal/marine","-23.17335","-44.258335","literature",-44.258335,-23.17335,"UTF-8"
"2639",na,"Sambaqui Ubatuba","SP","Southeastern","Coastal/marine","-24.858333","-47.755","literature",-47.755,-24.858333,"UTF-8"
"2640",na,"Pontiha",na,na,na,"-22.88727","-42.580815",na,-42.580815,-22.88727,"UTF-8"
"2641","PA-SA-5","Porto da Mina","PA","Northern","Amazon_forest","-8.3362","-47.00774","estimated",-47.00774,-0.83362,"UTF-8"
"2642","PA-SA-5","Porto da Mina","PA","Northern","Amazon_forest","-8.3362","-47.00774","estimated",-47.00774,-0.83362,"UTF-8"
"2643","PA-SA-5","Porto da Mina","PA","Northern","Amazon_forest","-8.3362","-47.00774","estimated",-47.00774,-0.83362,"UTF-8"
"2644","PA-SA-5","Porto da Mina","PA","Northern","Amazon_forest","-8.3362","-47.00774","estimated",-47.00774,-0.83362,"UTF-8"
