"","nome_inicial","long_inicial","lat_incial","est_inicial","mun_inicial","cod_mun","nm_mun","estado","longitude","latitude","nome","pais","id","id_duplicado"
"203","Fazenda Tra�a�s Amigos I",-49.44278,-24.83831,NA,NA,"4105201","cerro azul","pr",-49.44278,-24.83831,NA,"br","br_pr_NA_4105201",TRUE
"204","Lageadinho I",-49.44162,-24.81261,NA,NA,"4105201","cerro azul","pr",-49.44162,-24.81261,"lageadinhoi","br","br_pr_lageadinhoi_4105201",FALSE
"205","Salto da Bomba I",-49.44162,-24.81261,NA,NA,"4105201","cerro azul","pr",-49.44162,-24.81261,"saltodabombai","br","br_pr_saltodabombai_4105201",FALSE
"206","Valdir Henckmaier",-49.44149,-27.74848,NA,NA,"4200705","alfredo wagner","sc",-49.44149,-27.74848,"valdirhenckmaier","br","br_sc_valdirhenckmaier_4200705",FALSE
"207","Salto  da Bomba III",-49.44146,-24.82543,NA,NA,"4105201","cerro azul","pr",-49.44146,-24.82543,"saltodabombaiii","br","br_pr_saltodabombaiii_4105201",FALSE
"208","Morro Grande XIV",-49.44138,-24.94186,NA,NA,"4122206","rio branco do sul","pr",-49.44138,-24.94186,"morrograndexiv","br","br_pr_morrograndexiv_4122206",FALSE
"209","Ermelindo de Souza I",-49.4402,-27.70275,NA,NA,"4200705","alfredo wagner","sc",-49.4402,-27.70275,"ermelindodesouzai","br","br_sc_ermelindodesouzai_4200705",FALSE
"210","Bomba I",-49.43938,-24.83344,NA,NA,"4105201","cerro azul","pr",-49.43938,-24.83344,"bombai","br","br_pr_bombai_4105201",FALSE
"211","Salto da Bomba IV",-49.43895,-24.82816,NA,NA,"4105201","cerro azul","pr",-49.43895,-24.82816,"saltodabombaiv","br","br_pr_saltodabombaiv_4105201",FALSE
"212","Santo Anta�a�nio I",-49.43711,-24.94272,NA,NA,"4122206","rio branco do sul","pr",-49.43711,-24.94272,NA,"br","br_pr_NA_4122206",FALSE
"213","Tourinho",-53.01202,-24.71178,NA,NA,"4103354","braganey","pr",-53.01202,-24.71178,"tourinho","br","br_pr_tourinho_4103354",FALSE
"214","Edmundo Kossoski I",-49.43679,-25.38837,NA,NA,"4104253","campo magro","pr",-49.43679,-25.38837,"edmundokossoskii","br","br_pr_edmundokossoskii_4104253",FALSE
"215","Lua�a�s Sejanoski I",-49.4363,-25.42227,NA,NA,"4104204","campo largo","pr",-49.4363,-25.42227,NA,"br","br_pr_NA_4104204",FALSE
"216","Casemiro Gogola I",-49.43576,-25.42574,NA,NA,"4104204","campo largo","pr",-49.43576,-25.42574,"casemirogogolai","br","br_pr_casemirogogolai_4104204",FALSE
