"","nome_inicial","long_inicial","lat_incial","est_inicial","mun_inicial","cod_mun","nm_mun","estado","longitude","latitude","nome","pais","id","id_duplicado"
"323","PR.QB.01",-49.06978,-25.36133,NA,NA,"4120804","quatro barras","pr",-49.06978,-25.36133,"prqb01","br","br_pr_prqb01_4120804",FALSE
"324","Jose Vieira",-52.89077,-23.2742,NA,NA,"4109104","guaporema","pr",-52.89077,-23.2742,"josevieira","br","br_pr_josevieira_4109104",FALSE
"325","PR CT 57",-49.05561,-25.35853,NA,NA,"4120804","quatro barras","pr",-49.05561,-25.35853,"prct57","br","br_pr_prct57_4120804",FALSE
"326","Pouso Alto",-49.05194,-24.0798,NA,NA,"3522406","itapeva","sp",-49.05194,-24.0798,"pousoalto","br","br_sp_pousoalto_3522406",FALSE
"327","Rio Florestal 1",-49.04279,-25.35383,NA,NA,"4120804","quatro barras","pr",-49.04279,-25.35383,"rioflorestal1","br","br_pr_rioflorestal1_4120804",FALSE
"328","Lodacal",-49.03252,-24.64012,NA,NA,"4100202","adrianópolis","pr",-49.03252,-24.64012,"lodacal","br","br_pr_lodacal_4100202",FALSE
"329","PR BS 05",-49.03209,-24.64631,NA,NA,"4100202","adrianópolis","pr",-49.03209,-24.64631,"prbs05","br","br_pr_prbs05_4100202",FALSE
"330","Morros dos Anjos",-49.01142,-24.65411,NA,NA,"4100202","adrianópolis","pr",-49.01142,-24.65411,"morrosdosanjos","br","br_pr_morrosdosanjos_4100202",FALSE
"331","Vila Operaria 2",-49.00774,-24.64826,NA,NA,"4100202","adrianópolis","pr",-49.00774,-24.64826,"vilaoperaria2","br","br_pr_vilaoperaria2_4100202",FALSE
"332","Marica 2",-49.00739,-24.6461,NA,NA,"4100202","adrianópolis","pr",-49.00739,-24.6461,"marica2","br","br_pr_marica2_4100202",FALSE
"333","Estrutura escavada Pinheiro Seco",-49.00176,-25.58247,NA,NA,"4125506","são josé dos pinhais","pr",-49.00176,-25.58247,"estruturaescavadapinheiroseco","br","br_pr_estruturaescavadapinheiroseco_4125506",FALSE
"334","Polaco",-49.00095,-24.6607,NA,NA,"4100202","adrianópolis","pr",-49.00095,-24.6607,"polaco","br","br_pr_polaco_4100202",FALSE
"335","Rosatto 6",-54.54911,-25.47537,NA,NA,"4108304","foz do iguaçu","pr",-54.54911,-25.47537,"rosatto6","br","br_pr_rosatto6_4108304",FALSE
"336","PR RO 07",-52.86435,-24.68708,NA,NA,"4103909","campina da lagoa","pr",-52.86435,-24.68708,"prro07","br","br_pr_prro07_4103909",FALSE
"337","Lago Verde",-48.99871,-24.6664,NA,NA,"4100202","adrianópolis","pr",-48.99871,-24.6664,"lagoverde","br","br_pr_lagoverde_4100202",FALSE
"338","Cruzeiro",-48.99846,-24.66025,NA,NA,"4100202","adrianópolis","pr",-48.99846,-24.66025,"cruzeiro","br","br_pr_cruzeiro_4100202",FALSE
"339","Muzel",-48.97398,-24.16962,NA,NA,"3532827","nova campina","sp",-48.97398,-24.16962,"muzel","br","br_sp_muzel_3532827",FALSE
"340","Abrigo de Itapeva",-48.97388,-24.06424,NA,NA,"3522406","itapeva","sp",-48.97388,-24.06424,"abrigodeitapeva","br","br_sp_abrigodeitapeva_3522406",FALSE
"341","Fraccaroli",-48.96858,-24.05658,NA,NA,"3522406","itapeva","sp",-48.96858,-24.05658,"fraccaroli","br","br_sp_fraccaroli_3522406",FALSE
"342","Ramos 2",-48.9661,-24.06592,NA,NA,"3522406","itapeva","sp",-48.9661,-24.06592,"ramos2","br","br_sp_ramos2_3522406",FALSE
"343","Morro do Gato",-48.96546,-24.30358,NA,NA,"3543006","ribeirão branco","sp",-48.96546,-24.30358,"morrodogato","br","br_sp_morrodogato_3543006",FALSE
"344","Boa Vista",-48.96519,-24.19427,NA,NA,"3532827","nova campina","sp",-48.96519,-24.19427,"boavista","br","br_sp_boavista_3532827",FALSE
"345","Taquari",-48.96468,-24.15822,NA,NA,"3532827","nova campina","sp",-48.96468,-24.15822,"taquari","br","br_sp_taquari_3532827",FALSE
"346","Boa Vista2",-48.96389,-24.19596,NA,NA,"3532827","nova campina","sp",-48.96389,-24.19596,"boavista2","br","br_sp_boavista2_3532827",FALSE
"347","UHE Salto Osorio 3",-52.86106,-25.61556,NA,NA,"4125209","são jorge d'oeste","pr",-52.86106,-25.61556,"uhesaltoosorio3","br","br_pr_uhesaltoosorio3_4125209",FALSE
"348","Mamangaba",-48.9618,-24.16833,NA,NA,"3532827","nova campina","sp",-48.9618,-24.16833,"mamangaba","br","br_sp_mamangaba_3532827",FALSE
"349","Sao Sebastiao",-48.96048,-24.32622,NA,NA,"3543006","ribeirão branco","sp",-48.96048,-24.32622,"saosebastiao","br","br_sp_saosebastiao_3543006",FALSE
"350","Monjolada",-48.95932,-24.28999,NA,NA,"3543006","ribeirão branco","sp",-48.95932,-24.28999,"monjolada","br","br_sp_monjolada_3543006",FALSE
"351","Cateto 3",-48.95911,-24.1557,NA,NA,"3532827","nova campina","sp",-48.95911,-24.1557,"cateto3","br","br_sp_cateto3_3532827",FALSE
"352","Leonir",-48.9578,-24.32015,NA,NA,"3543006","ribeirão branco","sp",-48.9578,-24.32015,"leonir","br","br_sp_leonir_3543006",FALSE
"353","Cateto 2",-48.95734,-24.16847,NA,NA,"3532827","nova campina","sp",-48.95734,-24.16847,"cateto2","br","br_sp_cateto2_3532827",FALSE
"354","Pedra Grande 2",-48.95638,-24.07952,NA,NA,"3522406","itapeva","sp",-48.95638,-24.07952,"pedragrande2","br","br_sp_pedragrande2_3522406",FALSE
"355","Cateto",-48.95482,-24.16602,NA,NA,"3532827","nova campina","sp",-48.95482,-24.16602,"cateto","br","br_sp_cateto_3532827",FALSE
"356","Pedra Grande",-48.95478,-24.08982,NA,NA,"3522406","itapeva","sp",-48.95478,-24.08982,"pedragrande","br","br_sp_pedragrande_3522406",FALSE
"357","Louzarde",-48.95258,-24.34216,NA,NA,"3502705","apiaí","sp",-48.95258,-24.34216,"louzarde","br","br_sp_louzarde_3502705",FALSE
"358","Morro Vermelho I",-52.86039,-24.67059,NA,NA,"4103909","campina da lagoa","pr",-52.86039,-24.67059,"morrovermelhoi","br","br_pr_morrovermelhoi_4103909",FALSE
"359","Monjolada 2",-48.95212,-24.28741,NA,NA,"3543006","ribeirão branco","sp",-48.95212,-24.28741,"monjolada2","br","br_sp_monjolada2_3543006",FALSE
"360","Monjolada 3",-48.94919,-24.29144,NA,NA,"3543006","ribeirão branco","sp",-48.94919,-24.29144,"monjolada3","br","br_sp_monjolada3_3543006",FALSE
"361","Faxil",-48.94656,-24.0245,NA,NA,"3522406","itapeva","sp",-48.94656,-24.0245,"faxil","br","br_sp_faxil_3522406",FALSE
"362","Fa 4",-48.91004,-24.61571,NA,NA,"3522158","itaoca","sp",-48.91004,-24.61571,"fa4","br","br_sp_fa4_3522158",FALSE
"363","Quatis",-48.90026,-24.35478,NA,NA,"3502705","apiaí","sp",-48.90026,-24.35478,"quatis","br","br_sp_quatis_3502705",FALSE
"364","Gasbol 3",-48.89512,-24.33309,NA,NA,"3502705","apiaí","sp",-48.89512,-24.33309,"gasbol3","br","br_sp_gasbol3_3502705",FALSE
"365","Gasbol 1",-48.88397,-24.31456,NA,NA,"3543006","ribeirão branco","sp",-48.88397,-24.31456,"gasbol1","br","br_sp_gasbol1_3543006",FALSE
"366","Fa 5",-48.88252,-24.59629,NA,NA,"3522158","itaoca","sp",-48.88252,-24.59629,"fa5","br","br_sp_fa5_3522158",FALSE
"367","SP - RI - 21",-48.87878,-24.61378,NA,NA,"3522158","itaoca","sp",-48.87878,-24.61378,"spri21","br","br_sp_spri21_3522158",FALSE
"368","SP - RI - 20",-48.87174,-24.65191,NA,NA,"3522158","itaoca","sp",-48.87174,-24.65191,"spri20","br","br_sp_spri20_3522158",FALSE
"369","Morro Vermelho II",-52.85193,-24.67135,NA,NA,"4103909","campina da lagoa","pr",-52.85193,-24.67135,"morrovermelhoii","br","br_pr_morrovermelhoii_4103909",FALSE
"370","Ribeiro 2",-48.84929,-24.27452,NA,NA,"3543006","ribeirão branco","sp",-48.84929,-24.27452,"ribeiro2","br","br_sp_ribeiro2_3543006",FALSE
"371","SP - RI - 71",-48.84899,-24.64248,NA,NA,"3522158","itaoca","sp",-48.84899,-24.64248,"spri71","br","br_sp_spri71_3522158",FALSE
"372","SP - RI - 77",-48.84189,-24.63542,NA,NA,"3522158","itaoca","sp",-48.84189,-24.63542,"spri77","br","br_sp_spri77_3522158",FALSE
"373","Bertini",-48.84157,-24.27778,NA,NA,"3543006","ribeirão branco","sp",-48.84157,-24.27778,"bertini","br","br_sp_bertini_3543006",FALSE
"374","Joao Milizirdo",-48.84131,-23.67996,NA,NA,"3522406","itapeva","sp",-48.84131,-23.67996,"joaomilizirdo","br","br_sp_joaomilizirdo_3522406",FALSE
"375","SP - RI - 70",-48.8406,-24.59813,NA,NA,"3522158","itaoca","sp",-48.8406,-24.59813,"spri70","br","br_sp_spri70_3522158",FALSE
"376","SP - RI - 50",-48.84054,-24.61165,NA,NA,"3522158","itaoca","sp",-48.84054,-24.61165,"spri50","br","br_sp_spri50_3522158",FALSE
"377","Pa 15",-48.84028,-24.64749,NA,NA,"3522158","itaoca","sp",-48.84028,-24.64749,"pa15","br","br_sp_pa15_3522158",FALSE
"378","Ribeiro",-48.8395,-24.27581,NA,NA,"3543006","ribeirão branco","sp",-48.8395,-24.27581,"ribeiro","br","br_sp_ribeiro_3543006",FALSE
"379","Gasbol 8",-48.83881,-24.25859,NA,NA,"3543006","ribeirão branco","sp",-48.83881,-24.25859,"gasbol8","br","br_sp_gasbol8_3543006",FALSE
"380","Afluente do Erveira",-52.84741,-24.56559,NA,NA,"4103909","campina da lagoa","pr",-52.84741,-24.56559,"afluentedoerveira","br","br_pr_afluentedoerveira_4103909",FALSE
"381","Pa 11",-48.83743,-24.61692,NA,NA,"3522158","itaoca","sp",-48.83743,-24.61692,"pa11","br","br_sp_pa11_3522158",FALSE
"382","Reta Lopes",-48.83666,-24.25449,NA,NA,"3543006","ribeirão branco","sp",-48.83666,-24.25449,"retalopes","br","br_sp_retalopes_3543006",FALSE
"383","Neri",-48.83414,-24.25859,NA,NA,"3543006","ribeirão branco","sp",-48.83414,-24.25859,"neri","br","br_sp_neri_3543006",FALSE
"384","Pa 12",-48.83314,-24.62214,NA,NA,"3522158","itaoca","sp",-48.83314,-24.62214,"pa12","br","br_sp_pa12_3522158",FALSE
"385","Guimaraes",-48.83271,-24.25357,NA,NA,"3543006","ribeirão branco","sp",-48.83271,-24.25357,"guimaraes","br","br_sp_guimaraes_3543006",FALSE
"386","Pa 13",-48.83107,-24.63868,NA,NA,"3522158","itaoca","sp",-48.83107,-24.63868,"pa13","br","br_sp_pa13_3522158",FALSE
"387","Taquari-Mirim",-48.8304,-24.24849,NA,NA,"3543006","ribeirão branco","sp",-48.8304,-24.24849,"taquarimirim","br","br_sp_taquarimirim_3543006",FALSE
"388","SP - RI - 82",-48.82933,-24.60887,NA,NA,"3522158","itaoca","sp",-48.82933,-24.60887,"spri82","br","br_sp_spri82_3522158",FALSE
"389","Olian",-48.82701,-24.25437,NA,NA,"3543006","ribeirão branco","sp",-48.82701,-24.25437,"olian","br","br_sp_olian_3543006",FALSE
"390","SP - RI - 78",-48.82657,-24.59655,NA,NA,"3522158","itaoca","sp",-48.82657,-24.59655,"spri78","br","br_sp_spri78_3522158",FALSE
"391","UHE Salto Osorio 4",-52.84681,-25.60737,NA,NA,"4125209","são jorge d'oeste","pr",-52.84681,-25.60737,"uhesaltoosorio4","br","br_pr_uhesaltoosorio4_4125209",FALSE
"392","Gasbol 5",-48.82524,-24.23906,NA,NA,"3543006","ribeirão branco","sp",-48.82524,-24.23906,"gasbol5","br","br_sp_gasbol5_3543006",FALSE
"393","Tapera 2",-48.82429,-24.25499,NA,NA,"3543006","ribeirão branco","sp",-48.82429,-24.25499,"tapera2","br","br_sp_tapera2_3543006",FALSE
"394","SP - RI - 81",-48.82327,-24.6027,NA,NA,"3522158","itaoca","sp",-48.82327,-24.6027,"spri81","br","br_sp_spri81_3522158",FALSE
"395","Arauca�a�ria",-48.81944,-24.27897,NA,NA,"3543006","ribeirão branco","sp",-48.81944,-24.27897,NA,"br","br_sp_NA_3543006",FALSE
"396","Mirante",-48.81864,-24.24561,NA,NA,"3543006","ribeirão branco","sp",-48.81864,-24.24561,"mirante","br","br_sp_mirante_3543006",FALSE
"397","Queimada",-48.81426,-24.27767,NA,NA,"3543006","ribeirão branco","sp",-48.81426,-24.27767,"queimada","br","br_sp_queimada_3543006",FALSE
"398","Gomes",-48.8062,-24.28126,NA,NA,"3543006","ribeirão branco","sp",-48.8062,-24.28126,"gomes","br","br_sp_gomes_3543006",FALSE
"399","Maria Moura",-48.80569,-24.03474,NA,NA,"3522406","itapeva","sp",-48.80569,-24.03474,"mariamoura","br","br_sp_mariamoura_3522406",FALSE
"400","Pa 6",-48.80455,-24.65515,NA,NA,"3522158","itaoca","sp",-48.80455,-24.65515,"pa6","br","br_sp_pa6_3522158",FALSE
"401","Pa 5",-48.80337,-24.6393,NA,NA,"3522158","itaoca","sp",-48.80337,-24.6393,"pa5","br","br_sp_pa5_3522158",FALSE
"402","Roseira II",-52.84367,-24.66198,NA,NA,"4103909","campina da lagoa","pr",-52.84367,-24.66198,"roseiraii","br","br_pr_roseiraii_4103909",FALSE
"403","Rancho Caa�a�do",-48.80127,-24.06023,NA,NA,"3522406","itapeva","sp",-48.80127,-24.06023,NA,"br","br_sp_NA_3522406",FALSE
"404","Pinha",-48.80035,-24.03742,NA,NA,"3522406","itapeva","sp",-48.80035,-24.03742,"pinha","br","br_sp_pinha_3522406",FALSE
"405","Pereiras 2",-48.79988,-24.22231,NA,NA,"3543006","ribeirão branco","sp",-48.79988,-24.22231,"pereiras2","br","br_sp_pereiras2_3543006",FALSE
"406","Tra�a�s a�a�guas 2",-48.79777,-24.27368,NA,NA,"3543006","ribeirão branco","sp",-48.79777,-24.27368,NA,"br","br_sp_NA_3543006",TRUE
"407","Tra�a�s a�a�guas",-48.79574,-24.27219,NA,NA,"3543006","ribeirão branco","sp",-48.79574,-24.27219,NA,"br","br_sp_NA_3543006",TRUE
"408","319 - OC 5",-48.79133,-25.82592,NA,NA,"4109609","guaratuba","pr",-48.79133,-25.82592,"319oc5","br","br_pr_319oc5_4109609",FALSE
"409","Pa 9",-48.79068,-24.6489,NA,NA,"3522158","itaoca","sp",-48.79068,-24.6489,"pa9","br","br_sp_pa9_3522158",FALSE
"410","Galheta IV",-48.78859,-28.56649,NA,NA,"4209409","laguna","sc",-48.78859,-28.56649,"galhetaiv","br","br_sc_galhetaiv_4209409",FALSE
"411","SP - RI - 22",-48.7885,-24.65865,NA,NA,"3522158","itaoca","sp",-48.7885,-24.65865,"spri22","br","br_sp_spri22_3522158",FALSE
"412","Paredao",-48.78761,-24.03812,NA,NA,"3522406","itapeva","sp",-48.78761,-24.03812,"paredao","br","br_sp_paredao_3522406",FALSE
"413","Moch I",-52.83388,-24.62871,NA,NA,"4103909","campina da lagoa","pr",-52.83388,-24.62871,"mochi","br","br_pr_mochi_4103909",FALSE
"414","SP - RI - 83",-48.7841,-24.66349,NA,NA,"3522158","itaoca","sp",-48.7841,-24.66349,"spri83","br","br_sp_spri83_3522158",FALSE
"415","SP - RI - 34",-48.78307,-24.65594,NA,NA,"3522158","itaoca","sp",-48.78307,-24.65594,"spri34","br","br_sp_spri34_3522158",FALSE
"416","318 - OC 4",-48.77988,-25.83195,NA,NA,"4109609","guaratuba","pr",-48.77988,-25.83195,"318oc4","br","br_pr_318oc4_4109609",FALSE
"417","SP - RI - 33",-48.77844,-24.65,NA,NA,"3522158","itaoca","sp",-48.77844,-24.65,"spri33","br","br_sp_spri33_3522158",FALSE
"418","Pa 7",-48.77717,-24.6437,NA,NA,"3522158","itaoca","sp",-48.77717,-24.6437,"pa7","br","br_sp_pa7_3522158",FALSE
"419","Gu 5",-48.7657,-24.68427,NA,NA,"3521200","iporanga","sp",-48.7657,-24.68427,"gu5","br","br_sp_gu5_3521200",FALSE
"420","Re",-48.76217,-24.6724,NA,NA,"3521200","iporanga","sp",-48.76217,-24.6724,"re","br","br_sp_re_3521200",FALSE
"421","Morus",-48.75318,-24.05539,NA,NA,"3522406","itapeva","sp",-48.75318,-24.05539,"morus","br","br_sp_morus_3522406",FALSE
"422","Mm",-48.73027,-24.68115,NA,NA,"3521200","iporanga","sp",-48.73027,-24.68115,"mm","br","br_sp_mm_3521200",FALSE
"423","Mendes",-48.7197,-24.00508,NA,NA,"3522406","itapeva","sp",-48.7197,-24.00508,"mendes","br","br_sp_mendes_3522406",FALSE
"424","Roseira I",-52.83353,-24.65709,NA,NA,"4103909","campina da lagoa","pr",-52.83353,-24.65709,"roseirai","br","br_pr_roseirai_4103909",FALSE
"425","Bv",-48.70873,-24.67864,NA,NA,"3521200","iporanga","sp",-48.70873,-24.67864,"bv","br","br_sp_bv_3521200",FALSE
"426","SP - RI - 25",-48.66633,-24.68071,NA,NA,"3521200","iporanga","sp",-48.66633,-24.68071,"spri25","br","br_sp_spri25_3521200",FALSE
"427","346 - OC 32",-48.66141,-25.9668,NA,NA,"4109609","guaratuba","pr",-48.66141,-25.9668,"346oc32","br","br_pr_346oc32_4109609",FALSE
"428","Rio das Pedras",-48.64851,-25.52416,NA,NA,"4118204","paranaguá","pr",-48.64851,-25.52416,"riodaspedras","br","br_pr_riodaspedras_4118204",FALSE
"429","Cabecudas",-48.62967,-26.92933,NA,NA,"4208203","itajaí","sc",-48.62967,-26.92933,"cabecudas","br","br_sc_cabecudas_4208203",FALSE
"430","Praia das Laranjeiras II",-48.58911,-26.9973,NA,NA,"4202008","balneário camboriú","sc",-48.58911,-26.9973,"praiadaslaranjeirasii","br","br_sc_praiadaslaranjeirasii_4202008",FALSE
"431","Arlindo Cruz",-48.58772,-24.09642,NA,NA,"3517604","guapiara","sp",-48.58772,-24.09642,"arlindocruz","br","br_sp_arlindocruz_3517604",FALSE
"432","Praia da Tapera",-48.57016,-27.68764,NA,NA,"4205407","florianópolis","sc",-48.57016,-27.68764,"praiadatapera","br","br_sc_praiadatapera_4205407",FALSE
"433","Base Aerea",-48.5676,-27.67727,NA,NA,"4205407","florianópolis","sc",-48.5676,-27.67727,"baseaerea","br","br_sc_baseaerea_4205407",FALSE
"434","SP - GA - 108",-48.54956,-24.64141,NA,NA,"3521200","iporanga","sp",-48.54956,-24.64141,"spga108","br","br_sp_spga108_3521200",FALSE
"435","Moch II",-52.8263,-24.63194,NA,NA,"4103909","campina da lagoa","pr",-52.8263,-24.63194,"mochii","br","br_pr_mochii_4103909",FALSE
"436","SP - GA - 91",-48.54394,-24.64816,NA,NA,"3521200","iporanga","sp",-48.54394,-24.64816,"spga91","br","br_sp_spga91_3521200",FALSE
"437","Id",-48.54087,-24.88935,NA,NA,"3505401","barra do turvo","sp",-48.54087,-24.88935,"id","br","br_sp_id_3505401",FALSE
"438","Forte Marechal Luz",-48.53611,-26.17008,NA,NA,"4216206","são francisco do sul","sc",-48.53611,-26.17008,"fortemarechalluz","br","br_sc_fortemarechalluz_4216206",FALSE
"439","SP - GA - 50",-48.51703,-24.81846,NA,NA,"3505401","barra do turvo","sp",-48.51703,-24.81846,"spga50","br","br_sp_spga50_3505401",FALSE
"440","SP - GA - 90",-48.51204,-24.8561,NA,NA,"3505401","barra do turvo","sp",-48.51204,-24.8561,"spga90","br","br_sp_spga90_3505401",FALSE
"441","SP - GA - 40",-48.50706,-24.80795,NA,NA,"3505401","barra do turvo","sp",-48.50706,-24.80795,"spga40","br","br_sp_spga40_3505401",FALSE
"442","SP - GA - 39",-48.50454,-24.81656,NA,NA,"3505401","barra do turvo","sp",-48.50454,-24.81656,"spga39","br","br_sp_spga39_3505401",FALSE
"443","SC-LN-71",-48.50348,-26.23557,NA,NA,"4216206","são francisco do sul","sc",-48.50348,-26.23557,"scln71","br","br_sc_scln71_4216206",FALSE
"444","SG 11",-48.50003,-24.88516,NA,NA,"3505401","barra do turvo","sp",-48.50003,-24.88516,"sg11","br","br_sp_sg11_3505401",FALSE
"445","Rio do Meio",-48.49791,-27.43992,NA,NA,"4205407","florianópolis","sc",-48.49791,-27.43992,"riodomeio","br","br_sc_riodomeio_4205407",FALSE
"446","Sanga Funda 2",-54.54865,-25.39312,NA,NA,"4108304","foz do iguaçu","pr",-54.54865,-25.39312,"sangafunda2","br","br_pr_sangafunda2_4108304",FALSE
"447","Tra�a�s buracos",-52.8243,-24.61782,NA,NA,"4103909","campina da lagoa","pr",-52.8243,-24.61782,NA,"br","br_pr_NA_4103909",FALSE
"448","SP - GA - 38",-48.49663,-24.8116,NA,NA,"3505401","barra do turvo","sp",-48.49663,-24.8116,"spga38","br","br_sp_spga38_3505401",FALSE
"449","SP - GA - 51",-48.4957,-24.84052,NA,NA,"3505401","barra do turvo","sp",-48.4957,-24.84052,"spga51","br","br_sp_spga51_3505401",FALSE
"450","SG 14",-48.49106,-24.90317,NA,NA,"3505401","barra do turvo","sp",-48.49106,-24.90317,"sg14","br","br_sp_sg14_3505401",FALSE
"451","SG 12",-48.48937,-24.88256,NA,NA,"3505401","barra do turvo","sp",-48.48937,-24.88256,"sg12","br","br_sp_sg12_3505401",FALSE
"452","SG 10",-48.48839,-24.85855,NA,NA,"3505401","barra do turvo","sp",-48.48839,-24.85855,"sg10","br","br_sp_sg10_3505401",FALSE
"453","SP - GA - 37",-48.48706,-24.81751,NA,NA,"3505401","barra do turvo","sp",-48.48706,-24.81751,"spga37","br","br_sp_spga37_3505401",FALSE
"454","SG 13",-48.48442,-24.89527,NA,NA,"3505401","barra do turvo","sp",-48.48442,-24.89527,"sg13","br","br_sp_sg13_3505401",FALSE
"455","IT3 / Rio do Poco 2",-48.47995,-25.25903,NA,NA,"4109500","guaraqueçaba","pr",-48.47995,-25.25903,"it3/riodopoco2","br","br_pr_it3/riodopoco2_4109500",FALSE
"456","SP-GA-31",-48.47723,-24.76886,NA,NA,"3505401","barra do turvo","sp",-48.47723,-24.76886,"spga31","br","br_sp_spga31_3505401",FALSE
"457","SP - GA - 54",-48.47658,-24.80385,NA,NA,"3505401","barra do turvo","sp",-48.47658,-24.80385,"spga54","br","br_sp_spga54_3505401",FALSE
"458","Moch III",-52.82208,-24.62407,NA,NA,"4103909","campina da lagoa","pr",-52.82208,-24.62407,"mochiii","br","br_pr_mochiii_4103909",FALSE
"459","SP - GA - 49",-48.47523,-24.92523,NA,NA,"3505401","barra do turvo","sp",-48.47523,-24.92523,"spga49","br","br_sp_spga49_3505401",FALSE
"460","SP-GA-52",-48.4749,-24.90602,NA,NA,"3505401","barra do turvo","sp",-48.4749,-24.90602,"spga52","br","br_sp_spga52_3505401",FALSE
"461","SP-GA-30",-48.4747,-24.74061,NA,NA,"3505401","barra do turvo","sp",-48.4747,-24.74061,"spga30","br","br_sp_spga30_3505401",FALSE
"462","SP - GA - 76",-48.46848,-24.93241,NA,NA,"3505401","barra do turvo","sp",-48.46848,-24.93241,"spga76","br","br_sp_spga76_3505401",FALSE
"463","SP - GA - 44",-48.46819,-24.78506,NA,NA,"3505401","barra do turvo","sp",-48.46819,-24.78506,"spga44","br","br_sp_spga44_3505401",FALSE
"464","IT11 / Itaqui 1",-48.45337,-25.3272,NA,NA,"4109500","guaraqueçaba","pr",-48.45337,-25.3272,"it11/itaqui1","br","br_pr_it11/itaqui1_4109500",FALSE
"465","SP - GA - 53",-48.44212,-24.80164,NA,NA,"3505401","barra do turvo","sp",-48.44212,-24.80164,"spga53","br","br_sp_spga53_3505401",FALSE
"466","Santa Terezinha III",-51.9787749,-26.5733524,NA,NA,"4212270","passos maia","sc",-51.9787749,-26.5733524,"santaterezinhaiii","br","br_sc_santaterezinhaiii_4212270",FALSE
"467","SC-CL-67",-50.8231666,-27.4735277,NA,NA,"4216800","são josé do cerrito","sc",-50.8231666,-27.4735277,"sccl67","br","br_sc_sccl67_4216800",TRUE
"468","SC-CL-64",-50.7220833,-27.5968055,NA,NA,"4216800","são josé do cerrito","sc",-50.7220833,-27.5968055,"sccl64","br","br_sc_sccl64_4216800",TRUE
"469","Aeroporto",-52.81185,-24.593,NA,NA,"4103909","campina da lagoa","pr",-52.81185,-24.593,"aeroporto","br","br_pr_aeroporto_4103909",FALSE
"470","SC-CL-63",-50.7189166,-27.60275,NA,NA,"4216800","são josé do cerrito","sc",-50.7189166,-27.60275,"sccl63","br","br_sc_sccl63_4216800",TRUE
"471","SC-CL-65",-50.7143611,-27.6450555,NA,NA,"4216800","são josé do cerrito","sc",-50.7143611,-27.6450555,"sccl65","br","br_sc_sccl65_4216800",TRUE
"472","SC-CL-95",-50.7088333,-27.4753611,NA,NA,"4216800","são josé do cerrito","sc",-50.7088333,-27.4753611,"sccl95","br","br_sc_sccl95_4216800",FALSE
"473","SC-CL-84",-50.7081388,-27.5371111,NA,NA,"4216800","são josé do cerrito","sc",-50.7081388,-27.5371111,"sccl84","br","br_sc_sccl84_4216800",FALSE
"474","SC-CL-83",-50.7028055,-27.4630833,NA,NA,"4216800","são josé do cerrito","sc",-50.7028055,-27.4630833,"sccl83","br","br_sc_sccl83_4216800",TRUE
"475","SC-CL-85",-50.6993888,-27.5302222,NA,NA,"4216800","são josé do cerrito","sc",-50.6993888,-27.5302222,"sccl85","br","br_sc_sccl85_4216800",FALSE
"476","SC-CL-87",-50.6943611,-27.5013055,NA,NA,"4216800","são josé do cerrito","sc",-50.6943611,-27.5013055,"sccl87","br","br_sc_sccl87_4216800",FALSE
"477","SC-CL-82",-50.689,-27.4674722,NA,NA,"4216800","são josé do cerrito","sc",-50.689,-27.4674722,"sccl82","br","br_sc_sccl82_4216800",TRUE
"478","SC-CL-81",-50.6885555,-27.4684722,NA,NA,"4216800","são josé do cerrito","sc",-50.6885555,-27.4684722,"sccl81","br","br_sc_sccl81_4216800",TRUE
"479","SC-CL-88",-50.6836944,-27.4990555,NA,NA,"4216800","são josé do cerrito","sc",-50.6836944,-27.4990555,"sccl88","br","br_sc_sccl88_4216800",FALSE
"480","RS-RP-133",-52.69098,-29.47608,NA,NA,"4322533","vale do sol","rs",-52.69098,-29.47608,"rsrp133","br","br_rs_rsrp133_4322533",FALSE
"481","SC-CL-86",-50.6831111,-27.5087222,NA,NA,"4216800","são josé do cerrito","sc",-50.6831111,-27.5087222,"sccl86","br","br_sc_sccl86_4216800",FALSE
"482","SC-CL-89",-50.6610277,-27.5089722,NA,NA,"4216800","são josé do cerrito","sc",-50.6610277,-27.5089722,"sccl89","br","br_sc_sccl89_4216800",FALSE
"483","SC-CL-90",-50.6602777,-27.5079722,NA,NA,"4216800","são josé do cerrito","sc",-50.6602777,-27.5079722,"sccl90","br","br_sc_sccl90_4216800",FALSE
"484","SC-CL-68",-50.6594166,-27.543,NA,NA,"4216800","são josé do cerrito","sc",-50.6594166,-27.543,"sccl68","br","br_sc_sccl68_4216800",TRUE
"485","SC-CL-69",-50.65775,-27.5437222,NA,NA,"4216800","são josé do cerrito","sc",-50.65775,-27.5437222,"sccl69","br","br_sc_sccl69_4216800",TRUE
"486","SC-CL-91",-50.6546388,-27.5114444,NA,NA,"4216800","são josé do cerrito","sc",-50.6546388,-27.5114444,"sccl91","br","br_sc_sccl91_4216800",FALSE
"487","SC-CL-74",-50.6442777,-27.5655,NA,NA,"4216800","são josé do cerrito","sc",-50.6442777,-27.5655,"sccl74","br","br_sc_sccl74_4216800",TRUE
"488","SC-CL-75",-50.6415,-27.5083611,NA,NA,"4216800","são josé do cerrito","sc",-50.6415,-27.5083611,"sccl75","br","br_sc_sccl75_4216800",TRUE
