"","cod1","cod","nm_mun","estado","longitude","latitude","nome","pais","id","conferir","sigla","nome1","est1","regiao","bioma","x","y"
"2212","299","1503606","itaituba","pa",-55.98,-4.31,"castanha","br","br_pa_castanha_1503606",TRUE,"na","Castanha","PA","Northern","Amazon_Forest",-4.31,-55.98
"2213","2990","3509908","cananéia","sp",-48.033333,-25.066667,"sambaquisambaquinho","br","br_sp_sambaquisambaquinho_3509908",FALSE,"na","Sambaqui Sambaquinho","SP","Southeastern","Coastal/marine",-25.066667,-48.033333
"2214","2991","3520301","iguape","sp",-47.666667,-24.783333,"sambaquisaobermado","br","br_sp_sambaquisaobermado_3520301",FALSE,"na","Sambaqui Sao Bermado","SP","Southeastern","Coastal/marine",-24.783333,-47.666667
"2215","2992","3203205","linhares","es",-39.85529392,-19.22783329,"sambaquisuruaca20","br","br_es_sambaquisuruaca20_3203205",FALSE,"na","Sambaqui Suruaca 20","ES","Southeastern","Coastal/marine",-19.22783329,-39.85529392
"2216","2993","3203205","linhares","es",-39.85529392,-19.22783329,"sambaquisuruaca20","br","br_es_sambaquisuruaca20_3203205",TRUE,"na","Sambaqui Suruaca 20","ES","Southeastern","Coastal/marine",-19.22783329,-39.85529392
"2217","2994","3203205","linhares","es",-39.85529392,-19.22783329,"sambaquisuruaca20","br","br_es_sambaquisuruaca20_3203205",TRUE,"na","Sambaqui Suruaca 20","ES","Southeastern","Coastal/marine",-19.22783329,-39.85529392
"2218","2995","3203205","linhares","es",-39.85529392,-19.22783329,"sambaquisuruaca20","br","br_es_sambaquisuruaca20_3203205",TRUE,"na","Sambaqui Suruaca 20","ES","Southeastern","Coastal/marine",-19.22783329,-39.85529392
"2219","2996","3203205","linhares","es",-39.85529392,-19.22783329,"sambaquisuruaca20","br","br_es_sambaquisuruaca20_3203205",TRUE,"na","Sambaqui Suruaca 20","ES","Southeastern","Coastal/marine",-19.22783329,-39.85529392
"2220","2997","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",FALSE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2221","2998","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2222","2999","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
