est;modalidades;quantidade;porc;porc0
RO;Militar;9; 0.006612;0
RO;Outros Usos;0;0.000000000;0
RO;Sem Destinação;2146;1.576515;2
RO;Assentamento;22382;16.442482;16
RO;Quilombola;38;0.027916;0
RO;Urbanizada;148;0.108725;0
RO;Rural-Minifúndio;50303;36.954078;37
RO;Rural-Pequena;41788;30.698706;31
RO;Rural-Média;2496;1.833636;2
RO;Rural-Grande;2551;1.874040;2
RO;Sem Classificação;11958;8.784702;9     
TO;Homologada;645;0.758226;1
TO;Não Homologada;75; 0.088166;0
TO;Interditada;0;0.000000000;0
TO;Dominial;0;0.000000000;0
TO;Reserva Indigena;1;0.001176;0
TO;Proteção Integral;206;0.242162;0
TO;Uso Sustentável;1197;1.407126;1
TO;Militar;0;0.000000000;0
TO;Outros Usos;0;0.000000000;0
TO;Sem Destinação;4257;5.004291;5
TO;Assentamento;15771;18.539504;19
TO;Quilombola;290; 0.340908 ;0
TO;Urbanizada;177;0.208071;0
TO;Rural-Minifúndio;28618;33.641718;34
TO;Rural-Pequena;13361;15.706443;16
TO;Rural-Média;6715;7.893778;8
TO;Rural-Grande;3827;4.498807;4
TO;Sem Classificação;9927;11.669625;12
