"","sobreposicao","quant","porc","porc0","porc3"
"133","aspig",8,0.000777484817179305,0,0
"134","tnhasg",2,0.000194371204294826,0,0
"135","thsd",23,0.0022352688493905,0,0
"136","oug",9,0.000874670419326718,0,0
"137","aspim",1,9.71856021474131e-05,0,0
"138","oum",21,0.00204089764509567,0,0
"139","pipg",27,0.00262401125798015,0,0
"140","oupm",3,0.000291556806442239,0,0
"141","oup",23,0.0022352688493905,0,0
"142","ou",495,0.0481068730629695,0,0.05
"143","ug",99,0.00962137461259389,0,0.01
"144","oumf",69,0.0067058065481715,0,0.01
"145","asou",1,9.71856021474131e-05,0,0
"146","tnh",11,0.00106904162362154,0,0
"147","asmfmg",425,0.0413038809126506,0,0.04
"148","usmfpg",35,0.00340149607515946,0,0
"149","pim",129,0.0125369426770163,0,0.01
"150","uasg",19,0.00184652644080085,0,0
"151","uasmfg",88,0.00855233298897235,0,0.01
"152","uas",27,0.00262401125798015,0,0
"153","qmig",644,0.062587527782934,0,0.06
"154","qmimg",1,9.71856021474131e-05,0,0
"155","qmimfg",5,0.000485928010737065,0,0
"156","asqmf",35,0.00340149607515946,0,0
"157","pimf",177,0.0172018515800921,0,0.02
"158","qpm",559,0.0543267516004039,0,0.05
"159","mfpmg",31,0.0030127536665698,0,0
"160","um",23,0.0022352688493905,0,0
"161","umfm",2,0.000194371204294826,0,0
"162","qpg",2260,0.219639460853154,0,0.22
"163","thasmf",1,9.71856021474131e-05,0,0
"164","tdasus",22,0.00213808324724309,0,0
"165","assdmfg",68,0.00660862094602409,0,0.01
"166","pimfg",29,0.00281838246227498,0,0
"167","aspimfg",9,0.000874670419326718,0,0
"168","asmfpmg",54,0.00524802251596031,0,0.01
"169","asqmfg",297,0.0288641238377817,0,0.03
"170","pimg",24,0.00233245445153791,0,0
"171","pimfp",3,0.000291556806442239,0,0
"172","mig",29,0.00281838246227498,0,0
"173","mim",11,0.00106904162362154,0,0
"174","mimfp",2,0.000194371204294826,0,0
"175","mipg",1,9.71856021474131e-05,0,0
"176","mip",18,0.00174934083865344,0,0
"177","mimfpg",1,9.71856021474131e-05,0,0
"178","asqmfpg",71,0.00690017775246633,0,0.01
"179","asqpg",32,0.00310993926871722,0,0
"180","tnhusmfg",32,0.00310993926871722,0,0
"181","tnhusg",143,0.0138975411070801,0,0.01
"182","tnhasus",26,0.00252682565583274,0,0
"183","tnhasusg",47,0.00456772330092841,0,0
"184","tnhuspg",2,0.000194371204294826,0,0
"185","tnhasusmf",342,0.0332374759344153,0,0.03
"186","thtnhasusmf",12,0.00116622722576896,0,0
"187","thtnhusmf",3,0.000291556806442239,0,0
"188","thtnh",12,0.00116622722576896,0,0
"189","tnhusmg",4,0.000388742408589652,0,0
"190","tnhusmfm",9,0.000874670419326718,0,0
"191","tnhm",3,0.000291556806442239,0,0
