"","est","modalidades","quantidade","porc","porc2","porc0"
"119","RR","Assentamento",12706,40.33394705,40.33,40
"120","RR","Quilombola",0,0,0,0
"121","RR","Urbanizada",250,0.79360041,0.79,1
"122","RR","Rural-Minifúndio",12984,41.2164307,41.22,41
"123","RR","Rural-Pequena",3180,10.09459717,10.09,10
"124","RR","Rural-Média",976,3.09821599,3.1,3
"125","RR","Rural-Grande",556,1.7649673,1.76,2
"126","RR","Sem Classificação",3994,12.67856,12.68,13
"127","RO","Homologada",420,0.46007734,0.46,0
"128","RO","Não Homologada",18,0.0197176,0.02,0
"129","RO","Interditada",0,0,0,0
"130","RO","Dominial",0,0,0,0
"131","RO","Reserva Indígena",0,0,0,0
"132","RO","Proteção Integral",16,0.01752676,0.02,0
"133","RO","Uso Sustentável",1850,2.02653113,2.03,2
"134","RO","Militar",9,0.0098588,0.01,0
"135","RO","Outros Usos",0,0,0,0
"136","RO","Sem Destinação",2146,2.35077611,2.35,2
"137","RO","Assentamento",22382,24.51774036,24.52,25
"138","RO","Quilombola",38,0.04162604,0.04,0
"139","RO","Urbanizada",148,0.16212249,0.16,0
"140","RO","Rural-Minifúndio",50319,55.12055122,55.12,55
"141","RO","Rural-Pequena",41786,45.77331332,45.77,46
"142","RO","Rural-Média",2498,2.73636473,2.74,3
"143","RO","Rural-Grande",2551,2.79442211,2.79,3
"144","RO","Sem Classificação",11955,13.09577,13.1,13
"145","TO","Homologada",645,1.013832128,1.01,1
"146","TO","Não Homologada",75,0.117887457,0.12,0
"147","TO","Interditada",0,0,0,0
"148","TO","Dominial",0,0,0,0
"149","TO","Reserva Indígena",1,0.001571833,0,0
"150","TO","Proteção Integral",206,0.323797548,0.32,0
"151","TO","Uso Sustentável",1197,1.88148381,1.88,2
"152","TO","Militar",0,0,0,0
"153","TO","Outros Usos",0,0,0,0
"154","TO","Sem Destinação",4257,6.691292047,6.69,7
"155","TO","Assentamento",15771,24.789374411,24.79,25
"156","TO","Quilombola",290,0.4558315,0.46,0
"157","TO","Urbanizada",177,0.278214398,0.28,0
"158","TO","Rural-Minifúndio",28615,44.977994341,44.98,45
"159","TO","Rural-Pequena",13361,21.001257466,21,21
"160","TO","Rural-Média",6719,10.561144294,10.56,11
"161","TO","Rural-Grande",3825,6.012260296,6.01,6
"162","TO","Sem Classificação",9919,15.591,15.59,16
"163","AML","Homologada",32067,3.11645070406109,3.12,3
"164","AML","Não Homologada",3243,0.315172907764061,0.32,0
"165","AML","Interditada",17,0.00165215523650602,0,0
"166","AML","Dominial",193,0.0187568212144507,0.02,0
"167","AML","Reserva Indígena",29,0.00281838246227498,0,0
"168","AML","Proteção Integral",3656,0.355310561450942,0.36,0
"169","AML","Uso Sustentável",119782,11.6410857964214,11.64,12
"170","AML","Militar",782,0.075999140879277,0.08,0
"171","AML","Outros Usos",621,0.0603522589335435,0.06,0
"172","AML","Sem Destinação",34372,3.34046351701088,3.34,3
"173","AML","Assentamento",289095,28.0958716528064,28.1,28
"174","AML","Quilombola",9461,0.919472981916675,0.92,1
"175","AML","Urbanizada",6185,0.60109294928175,0.6,1
"176","AML","Rural-Minifúndio",400251,38.8986344451042,38.9,39
"177","AML","Rural-Pequena",208365,20.2500779914457,20.25,20
"178","AML","Rural-Média",66753,6.48743050014626,6.49,6
"179","AML","Rural-Grande",166692,16.2000623931566,16.2,16
"180","AML","Sem Classificação",263694,25.6272601726599,25.63,26
