c;c1;q
tind;Terra Indígena (TIND);248
tindus;TIND e Uso Sustentável;32328
tindusot;TIND, Uso sustentável + outros ;2280
tindas;TIND e Assentamento;5
tindasot;TIND,  Assentamento + outros;1000
tindusu;TIND, Uso Sustentável e Zona Urbana ;8
tindsd;TIND e Sem Destinação;23
tindsdp;TIND, Sem Destinação + outros;5
tindprot;TIND, Proriedades Rurais + outros;1431
