est;modalidades;quantidade;porc
TO;Homologada;645;1.013752456
TO;Não Homologada;75; 0.117878193
TO;Interditada;0;0.000000000
TO;Dominial;0;0.000000000
TO;Reserva Indígena;1;0.001571709
TO;Proteção Integral;206;0.323772102
TO;Uso Sustentável;1197;1.881335953
TO;Militar;0;0.000000000
TO;Outros Usos;0;0.000000000
TO;Sem Destinação;4257;6.690766208
TO;Assentamento;15771;24.787426326
TO;Quilombola;290; 0.455795678
TO;Urbanizada;177;0.278192534
TO;Rural-Minifúndio;28618;44.979174853
TO;Rural-Pequena;13361;20.999607073
TO;Rural-Média;6715;10.554027505
TO;Rural-Grande;3827;6.014931238
TO;Sem Classificação;9927;15.602357564    
AML;Homologada;32067;2.79335595
AML;Não Homologada;3243;0.28249769
AML;Interditada;17;0.00148087
AML;Dominial;193;0.01681223
AML;Reserva Indígena;29; 0.00252619
AML;Proteção Integral;4098;0.35697673
AML;Uso Sustentável;121121;10.55084871 
AML;Militar;782;0.06812001
AML;Outros Usos;621;0.05409530
AML;Sem Destinação;36055;3.14075057
AML;Assentamento;304143;26.49389272
AML;Quilombola;10010;0.87197097
AML;Urbanizada;6185;0.53877527
AML;Rural-Minifúndio;440261;38.35112990
AML;Rural-Pequena;219534;19.12360384
AML;Rural-Média;76261;6.64309470
AML;Rural-Grande;229559;19.99688146
AML;Sem Classificação;290124;25.27269781
