"","uf","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g","d","nrow"
"66","AC",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,"asmfpg",4668
"67","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"sdmfm",122
"68","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,"sdmfpm",19
"69","AC",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"pi",2176
"70","AC",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"thas",5
"71","AC",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"thasusm",13
"72","AC",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"assdmf",518
"73","AC",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"assd",85
"74","AC",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"thasusg",30
"75","AC",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"tdus",171
"76","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"uspmg",52
"77","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"uspg",1009
"78","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"sdpmg",14
"79","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"usmfm",139
"80","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,"usmfpm",2
"81","AC",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"tnhasusm",41
"82","AC",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"tnhus",1297
"83","AC",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"tnhusm",112
"84","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"usm",444
"85","AC",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,"aspip",22
"86","AC",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,"sdmfpg",34
"87","AC",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"thusp",228
"88","AC",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"thasusp",56
"89","AC",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"thtnhus",603
"90","AC",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"thusmf",181
"91","AC",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"pig",540
"92","AC",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"thusmfp",18
"93","AC",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"thasusmf",6
"94","AC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"uspm",134
"95","AC",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,"thasusmg",5
"96","AC",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"pip",176
"97","AP",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"mi",58
"98","AP",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"assdp",177
"99","AP",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"usmfp",91
"100","AP",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"q",349
"101","AP",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"qsd",20
"102","AP",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"qus",15
"103","AP",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"qpi",159
"104","AP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"aspm",553
"105","AP",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"qp",1894
"106","AP",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"usd",131
"107","AP",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"uqp",81
"108","AP",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,"qusp",44
"109","AP",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,"qmfp",177
"110","AP",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"qg",1602
"111","AP",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"qsdg",42
"112","AP",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,"uasp",42
"113","AP",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,"assdm",6
"114","AP",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"thusm",34
"115","AP",0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,"assdmfp",191
"116","AP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,"aspmg",178
"117","AP",0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,"uasusp",14
"118","AP",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,"qsdmf",10
"119","AM",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"thasus",125
"120","AM",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,"asmfpm",154
"121","AM",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"tnhusp",124
"122","AM",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"tnhusmf",144
"123","AM",0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"tnhusmfp",9
"124","AM",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"qm",13
"125","AM",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"qsdp",37
"126","AM",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"qmf",16
"127","AM",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,"qmfg",211
"128","AM",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,"sdmfmg",9
"129","AM",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"mimf",8
"130","AM",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,"mipm",1
"131","AM",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"tnhasusp",41
"132","AM",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"tnhmf",2
"133","AM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"aspig",8
"134","AM",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"tnhasg",2
"135","AM",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"thsd",23
"136","AM",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"oug",9
"137","AM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,"aspim",1
"138","AM",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"oum",21
"139","AM",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"pipg",27
"140","AM",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"oupm",3
"141","AM",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"oup",23
"142","AM",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ou",495
"143","AM",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"ug",99
"144","AM",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"oumf",69
"145","AM",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"asou",1
"146","AM",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tnh",11
"147","AM",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,"asmfmg",425
"148","AM",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,"usmfpg",35
"149","AM",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"pim",129
"150","MA",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,"uasg",19
"151","MA",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,"uasmfg",88
"152","MA",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"uas",27
"153","MA",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"qmig",644
"154","MA",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,"qmimg",1
"155","MA",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,"qmimfg",5
"156","MA",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,"asqmf",35
"157","MA",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"pimf",177
"158","MA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"qpm",559
"159","MA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"mfpmg",31
"160","MA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"um",23
"161","MA",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"umfm",2
"162","MA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,"qpg",2260
"163","MA",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"thasmf",1
"164","MA",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"tdasus",22
"165","MA",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,"assdmfg",68
"166","MA",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,"pimfg",29
"167","MA",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"aspimfg",9
"168","MA",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,"asmfpmg",54
"169","MA",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,"asqmfg",297
"170","MA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"pimg",24
"171","MA",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"pimfp",3
"172","MA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"mig",29
"173","MA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"mim",11
"174","MA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"mimfp",2
"175","MA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"mipg",1
"176","MA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"mip",18
"177","MA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,"mimfpg",1
"178","MA",0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,"asqmfpg",71
"179","MA",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,"asqpg",32
