modalidade;quantidade;quant
Homologada;32067;
Não Homologada;3243;
Interditada;17;
Dominial;193;
Reserva Indigena;29;
Proteção Integral;3656;
Uso Sustentável;119782;
Militar;782;
Outros Usos;621;
Sem Destinação;34372;
Assentamento ;289095;
Quilombola;9461;
Urbanizada;6185;
Rural-Minifúndio;400251;
Rural-Pequena;208365;
Rural-Média;66753;
Rural-Grande;166692;
Sem Classificação;263694;
