,id,distancia_quilombola_metros,distancia_ind_metros,distancia_urb_metros,distancia_outros_metros,distancia_militar_metros,distancia_semdes_metros,distancia_pi_metros,distancia_us_metros,distancia_min_metros,distancia_p_metros,distancia_m_metros,distancia_g_metros
0,6,109296.00268346825,55188.88357974069,169093.50558585,10652.372503610111,1168.599312115312,49276.60858392711,73371.0669389325,974.6737417341553,4507.846564755397,3157.2588565458195,9957.960740633805,974.6737417329197
1,7,109275.78235050023,56151.8806458879,169171.682849864,10652.372503610111,1168.599312115312,49276.60858392711,75091.38050059241,687.3827389031811,3204.688930702646,4351.318000422056,9877.471142509745,687.3827389060419
2,23,127631.4805532298,31108.14996556605,185926.09646391872,10652.372503610111,1168.599312115312,49276.60858392711,29885.63892497337,1541.4586975735742,4293.845409505256,8354.25051119967,5163.941712120433,1541.4586975744203
3,24,118967.3748845334,30823.73540460764,177378.61508787685,10652.372503610111,1168.599312115312,49276.60858392711,33297.44044584507,60.89062308798171,3738.1258004441725,2478.844619987765,8950.607427091001,60.890623066363375
4,26,98728.70684478158,26965.661986118266,157487.80857467317,10652.372503610111,1168.599312115312,49276.60858392711,47278.334082254296,1886.67465725218,405.7324064206868,2017.2022392778995,3614.28866053082,1568.2279760875706
5,29,148817.35072470276,21175.03587892171,527409.8468595638,1292.394097937844,472.00322490615804,3116.7756384395398,140972.32954404957,10954.934298203114,9905.255564714007,6853.707109528775,13999.32218801381,11026.353980080878
6,30,146405.58442574888,17336.29220160635,526347.9670134408,1292.394097937844,472.00322490615804,3116.7756384395398,137861.2521952957,13983.03757880827,9533.857037968668,9566.396970630289,17327.1846103468,14053.079687438976
7,31,147645.58595740426,18628.439117455866,527216.4774290724,1292.394097937844,472.00322490615804,3116.7756384395398,139248.14062272673,12578.811373808296,10010.883529005869,8880.84215765236,16404.564818134277,12649.158488544272
8,32,130053.23354290152,9912.857147577439,512608.7485838476,1292.394097937844,472.00322490615804,3116.7756384395398,121114.82561420208,17543.6531891651,8398.87095828811,7450.175911420701,15351.520781334268,17543.6531891651
9,33,137545.49870066636,12025.694411605007,518662.22834608756,1292.394097937844,472.00322490615804,3116.7756384395398,128969.38814054667,22852.223878569563,6467.9853745990995,6579.66824547598,18527.033376391682,16063.881606968656
