"","X","sobreposicao","quant_sob","quant_sit","porc"
"1",1,"sd",1,288,4
"17",17,"sdp",2,37,1
"21",21,"sdm",2,12,0
"22",22,"sdg",2,43,1
"23",23,"sdmg",2,3,0
"27",27,"sdmf",2,32,0
"33",33,"assd",2,6,0
"41",41,"usd",2,1,0
"44",44,"tnhsd",2,1,0
"59",59,"sdmfp",3,2,0
"68",68,"sdpm",3,2,0
"80",80,"sdpg",3,3,0
"81",81,"sdmfm",3,1,0
