"","X","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g"
"1387",1387,1505304,"Oriximiná","PA",-56.78556504,-0.567542408,"Sitio 14",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1388",1388,1505304,"Oriximiná","PA",-56.77401976,-0.543682166,"Sitio 15",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1389",1389,1504208,"Marabá","PA",-49.10007629,-5.376071189,"S?o Jos? (PA-AT-4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1390",1390,1504208,"Marabá","PA",-49.20180785,-5.358851608,"Novilhas I (PA-AT-5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1391",1391,1504208,"Marabá","PA",-49.2552118,-5.294739012,"Novilhas II (PA-AT-6)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"1392",1392,1503705,"Itupiranga","PA",-49.34147986,-5.170277097,"Jabuti (PA-AT-7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1393",1393,1503705,"Itupiranga","PA",-49.34251801,-5.047228232,"Tauari (PA-AT-8)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"1394",1394,1504976,"Nova Ipixuna","PA",-49.36424101,-4.899281779,"Pixuninha (PA-AT-9)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1395",1395,1501782,"Breu Branco","PA",-49.64983232,-3.685541323,"Montanha (PA-BA-1)",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1396",1396,1508100,"Tucuruí","PA",-49.69023224,-3.657908089,"Mangal II (PA-BA-10)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1397",1397,1508100,"Tucuruí","PA",-49.65710138,-3.82677222,"KM 28 (PA-BA-11)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1398",1398,1508100,"Tucuruí","PA",-49.65266999,-3.806866408,"Boa Esperan?a (PA-BA-12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1399",1399,1508100,"Tucuruí","PA",-49.6721393,-3.731912428,"Fazenda (PA-BA-13)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1400",1400,1501782,"Breu Branco","PA",-49.6014252,-3.589922339,"Tau? (PA-BA-14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1401",1401,1501782,"Breu Branco","PA",-49.58788022,-3.559200114,"Muru (PA-BA-15)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1402",1402,1505064,"Novo Repartimento","PA",-49.51470162,-4.546389921,"Jatobal (PA-BA-16)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1403",1403,1508100,"Tucuruí","PA",-49.72840467,-3.758507256,"Torre de Controle (PA-BA-17)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1404",1404,1508100,"Tucuruí","PA",-49.69739263,-3.707189308,"Cajazeiras (PA-BA-18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1405",1405,1508100,"Tucuruí","PA",-49.75517715,-3.697724274,"Mangeurio (PA-BA-19)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1406",1406,1501782,"Breu Branco","PA",-49.59973829,-3.466109197,"Nazar? (PA-BA-2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1407",1407,1508100,"Tucuruí","PA",-49.72684322,-3.724124672,"Cap?o Bonito (PA-BA-20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1408",1408,1508100,"Tucuruí","PA",-49.64290404,-3.90711637,"Pitinga (PA-BA-21)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1409",1409,1501782,"Breu Branco","PA",-49.61280848,-3.955401132,"Arr?ia (PA-BA-22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1410",1410,1505064,"Novo Repartimento","PA",-49.63150447,-4.09953453,"Taquari (PA-BA-23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1411",1411,1501204,"Baião","PA",-49.79185428,-3.011444156,"Jacund? (PA-BA-24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
