"","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome"
"82","1100205","Porto Velho","RO",-65.344666,-9.538889,"Pederneira 3"
"83","1100205","Porto Velho","RO",-65.326111,-9.544444,"Pederneira 2"
"84","1100205","Porto Velho","RO",-65.324448,-9.545833,"Pederneira 1"
"85","1100809","Candeias do Jamari","RO",-63.428333,-8.733611,"Pe?o"
"86","1100205","Porto Velho","RO",-63.515835,-8.326667,"Paquet?"
"87","1101104","Itapuã do Oeste","RO",-63.24889,-9.159444,"Pacatuba"
"88","1100205","Porto Velho","RO",-63.473331,-8.483333,"Paca"
"89","1101104","Itapuã do Oeste","RO",-63.2925,-8.968056,"Nova Vida 4"
"90","1101104","Itapuã do Oeste","RO",-63.289722,-8.965556,"Nova Vida 3"
"91","1101104","Itapuã do Oeste","RO",-63.298058,-8.974722,"Nova Vida 2"
"92","1101104","Itapuã do Oeste","RO",-63.275002,-8.973611,"Nova Vida 1"
"93","1101104","Itapuã do Oeste","RO",-63.205276,-9.319722,"Nascente"
"94","1100205","Porto Velho","RO",-64.193054,-9.056944,"Morrinhos"
"95","1100205","Porto Velho","RO",-63.488335,-8.310833,"Monte Alegre"
"96","1100254","Presidente Médici","RO",-62.125,-11.178889,"Mizael"
"97","1100809","Candeias do Jamari","RO",-63.363609,-8.833889,"Matapi 2"
"98","1100809","Candeias do Jamari","RO",-63.362499,-8.833333,"Matapi 1"
"99","1101104","Itapuã do Oeste","RO",-63.330833,-8.996389,"Marcos"
"100","1100205","Porto Velho","RO",-63.90646,-8.765833,"Maravilha"
"101","1100205","Porto Velho","RO",-64.05278,-8.873611,"Mangal"
"102","1100809","Candeias do Jamari","RO",-63.356667,-8.921667,"Lima"
"103","1100809","Candeias do Jamari","RO",-63.27,-8.804167,"Justo"
"104","1101104","Itapuã do Oeste","RO",-63.185833,-9.253889,"Juli?o"
"105","1101104","Itapuã do Oeste","RO",-63.283333,-9.025,"Joaquim"
"106","1101104","Itapuã do Oeste","RO",-63.166668,-9.333611,"Jo?o"
"107","1101104","Itapuã do Oeste","RO",-63.246944,-9.195,"Jo?o Preto"
"108","1100809","Candeias do Jamari","RO",-63.405834,-8.8425,"Jatuarana 4"
"109","1100809","Candeias do Jamari","RO",-63.440834,-8.783611,"Jatuarana 3"
"110","1100809","Candeias do Jamari","RO",-63.400002,-8.849167,"Jatuarana 1"
"111","1101104","Itapuã do Oeste","RO",-63.298885,-8.91,"Japi?m"
"112","1100205","Porto Velho","RO",-64.398613,-9.27,"Jaci-Paran?"
"113","1100205","Porto Velho","RO",-63.465691,-8.573141,"Jacarezinho"
"114","1101104","Itapuã do Oeste","RO",-63.185841,-9.216389,"Itapo?"
"115","1100205","Porto Velho","RO",-63.933056,-8.798339,"Igap? 2"
"116","1100205","Porto Velho","RO",-63.865002,-8.797222,"Igap? 1"
"117","1101104","Itapuã do Oeste","RO",-63.15778,-9.128333,"Gog?"
"118","1100205","Porto Velho","RO",-64.722221,-9.323611,"Girau"
"119","1100205","Porto Velho","RO",-63.833332,-8.883333,"Gar?a"
"120","1100205","Porto Velho","RO",-65.526327,-9.786336,"Fortaleza de Abun?"
"121","1100809","Candeias do Jamari","RO",-63.376667,-8.983611,"Filipe"
"122","1100809","Candeias do Jamari","RO",-63.375832,-8.770833,"Feijoal"
"123","1100809","Candeias do Jamari","RO",-63.421112,-8.741667,"Esperan?a"
"124","1100205","Porto Velho","RO",-63.535831,-8.349167,"Cuni?"
"125","1100205","Porto Velho","RO",-63.906944,-8.780833,"Cujubim"
"126","1101104","Itapuã do Oeste","RO",-63.144169,-9.383611,"Concei??o"
"127","1100809","Candeias do Jamari","RO",-63.424721,-8.749167,"Chico Luiz 2"
"128","1100809","Candeias do Jamari","RO",-63.424721,-8.749722,"Chico Luiz 1"
"129","1100205","Porto Velho","RO",-63.468674,-8.530501,"Casar?o"
"130","1101104","Itapuã do Oeste","RO",-63.266666,-9.113333,"Carneiro 2"
"131","1101104","Itapuã do Oeste","RO",-63.246666,-9.1075,"Carneiro 1"
"132","1101104","Itapuã do Oeste","RO",-63.198334,-9.2,"Carmo 5"
"133","1101104","Itapuã do Oeste","RO",-63.211666,-9.196667,"Carmo 4"
"134","1101104","Itapuã do Oeste","RO",-63.213055,-9.2,"Carmo 3"
"135","1101104","Itapuã do Oeste","RO",-63.212502,-9.200278,"Carmo 2"
"136","1101104","Itapuã do Oeste","RO",-63.209999,-9.195556,"Carmo 1"
"137","1100205","Porto Velho","RO",-63.477222,-8.439167,"Carlos"
"138","1100205","Porto Velho","RO",-63.913612,-8.782778,"Candel?ria"
"139","1101104","Itapuã do Oeste","RO",-63.271389,-8.990583,"Sem Nome"
"140","1101104","Itapuã do Oeste","RO",-63.26889,-8.99,"Cachoeirinha 2"
"141","1101104","Itapuã do Oeste","RO",-63.313332,-8.896667,"Butica 2"
"142","1101104","Itapuã do Oeste","RO",-63.314167,-8.898611,"Butica 1"
"143","1100809","Candeias do Jamari","RO",-63.372223,-8.822222,"Brech?"
"144","1100205","Porto Velho","RO",-63.5,-8.3175,"Bom Jardim"
"145","1100205","Porto Velho","RO",-63.200001,-8.25,"Bela Palmeira"
"146","1100205","Porto Velho","RO",-62.872223,-8.108333,"B?rbara"
"147","1100809","Candeias do Jamari","RO",-63.521702,-8.641125,"Associa??o Calderita"
"148","1101104","Itapuã do Oeste","RO",-63.185833,-9.26,"Arquimedes 2"
"149","1101104","Itapuã do Oeste","RO",-63.161945,-9.259167,"Arquimedes 1"
"150","1100205","Porto Velho","RO",-63.906666,-8.768889,"Arigol?ndia"
"151","1100205","Porto Velho","RO",-63.526669,-8.335278,"Arcoverde"
"152","1100809","Candeias do Jamari","RO",-63.407501,-8.774167,"Ara?a"
"153","1101104","Itapuã do Oeste","RO",-63.1675,-9.284167,"Ant?nio"
"154","1100205","Porto Velho","RO",-64.051109,-8.861111,"?gua Azul"
"155","1100205","Porto Velho","RO",-63.904999,-8.783361,"5o Beck"
"156","1101104","Itapuã do Oeste","RO",-63.063332,-9.243333,"Viuva 2"
"157","1303809","São Gabriel da Cachoeira","AM",-69.20333551,0.600004352,"Santa Maria III"
