"","x","classificação","quantidade","porc","porc2","porc0"
"1","0","0",1910,28.4014869888476,28.4,28
"2","1","1",2806,41.724907063197,41.72,42
"3","2","2",1123,16.6988847583643,16.7,17
"4","3","3",669,9.94795539033457,9.95,10
"5","4","4",197,2.92936802973978,2.93,3
"6","5","5",20,0.297397769516729,0.3,0

